_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,fluency_assessment,reply,validation_log,abstr_da,abstr_utt,da,type,utt
917138504,3/25/2016 17:05:45,1935985085,3/25/2016 16:58:16,false,prodege,1.0,6309240,USA,CA,Los Angeles,69.75.54.130,"{""text"":""I understand that you would rather ride the subway, correct?"",""result"":""yes""}","I understand that you would rather ride the subway, correct?",,"inform(vehicle=""*VEHICLE"")",okay what if i'd rather ride the *VEHICLE,vehicle=subway,confirm,okay what if i'd rather ride the subway
917138505,3/25/2016 17:12:22,1935994321,3/25/2016 17:02:49,false,prodege,1.0,13342404,CAN,BC,Westbank,154.20.52.37,"{""text"":""I am sorry I cannot find the last connection."",""result"":""yes""}",I am sorry I cannot find the last connection.,,"inform(alternative=""last"")",last connection,"*=notfound, alternative=last",apologize,last connection
917138506,3/25/2016 17:12:12,1935994117,3/25/2016 17:06:24,false,bitcoinget,1.0,36685238,USA,CO,Denver,63.225.107.244,"{""text"":""you will be at your destination at 5:28pm"",""result"":""yes""}",you will be at your destination at 5:28pm,,"request(arrival_time=""*ARRIVAL_TIME"")",-each the destination and what time will i be there,arrival_time=5:28pm,reply,-each the destination and what time will i be there
917138507,3/25/2016 17:28:02,1936015358,3/25/2016 17:24:47,false,bitcoinget,1.0,36685238,USA,CO,Denver,63.225.107.244,"{""text"":""Sorry, i cannot find a connection from Houston Street."",""result"":""yes""}","Sorry, i cannot find a connection from Houston Street.",,"inform(from_stop=""*STREET"")",yes can i have a connection to from *STOP to ro,"*=notfound, from_stop=Houston Street",apologize,yes can i have a connection to from Houston Street to ro
917138508,3/25/2016 17:53:35,1936046570,3/25/2016 17:51:47,false,clixsense,1.0,31738779,CAN,ON,Toronto,45.72.149.165,"{""text"":""I did not find a route to Rector Street."",""result"":""yes""}",I did not find a route to Rector Street.,,"inform(to_stop=""*STREET"")",no i want to go to *STOP,"*=notfound, to_stop=Rector Street",apologize,no i want to go to Rector Street
917138509,3/25/2016 18:06:31,1936065254,3/25/2016 17:59:06,false,neodev,1.0,23017572,USA,CA,Los Angeles,67.215.241.22,"{""text"":""you want at 10:30"",""result"":""yes""}",you want at 10:30,,"inform(departure_time=""*TIME"")",at *NUMBER *NUMBER,departure_time=10:30,confirm,at ten thirty
917138510,3/25/2016 17:05:05,1935984190,3/25/2016 17:01:28,false,prodege,1.0,36887197,USA,VA,Richmond,50.134.51.26,"{""text"":""You need to find a connection Penn Station, what is you destination?"",""result"":""yes""}","You need to find a connection at  Penn Station, what is the destination?",,"inform(from_stop=""*STREET"")",i need to find a connection from *STOP queen,confirm: from_stop=Penn Station; request: to_stop=?,confirm-request,i need to find a connection from Penn Station queen
917138511,3/25/2016 17:20:28,1936005114,3/25/2016 17:17:36,false,prodege,1.0,6309240,USA,CA,Los Angeles,69.75.54.130,"{""text"":""My understanding is that you are looking for an alternate route at 2:00 pm."",""result"":""yes""}",My understanding is that you are looking for an alternate route at 2:00 pm.,,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")",is there an alternate route at *NUMBER *AMPM,"departure_time=2:00, ampm=pm",confirm,is there an alternate route at two pm
917138512,3/25/2016 17:59:48,1936055533,3/25/2016 17:55:38,false,prodege,1.0,10959404,USA,CA,North Hollywood,108.217.110.104,"{""text"":""I am sorry, there is not an alternate route for 3 pm."",""result"":""yes""}","I am sorry, there is not an alternate route for 3 pm.",,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")",is there an alternate route at *NUMBER *AMPM,"*=notfound, departure_time=3:00, ampm=pm",apologize,is there an alternate route at three pm
917138513,3/25/2016 17:53:35,1936046568,3/25/2016 17:51:47,false,clixsense,1.0,31738779,CAN,ON,Toronto,45.72.149.165,"{""text"":""I did not find a bus route."",""result"":""yes""}",I did not find a bus route.,,"inform(vehicle=""*VEHICLE"")",prefer to use the *VEHICLE,"*=notfound, vehicle=bus",apologize,prefer to use the bus
917138514,3/25/2016 17:27:01,1936013822,3/25/2016 17:18:27,false,clixsense,1.0,31738779,CAN,ON,Toronto,45.72.149.165,"{""text"":""I'll check for a 9:00am route to World Trade Center."",""result"":""yes""}",I'll check for a 9:00am route to World Trade Center.,,"inform(to_stop=""*STREET"")&inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")",search for a route *NUMBER *AMPM to *STOP,"to_stop=World Trade Center, departure_time=9:00, ampm=am",confirm,search for a route nine am to World Trade Center
917138515,3/25/2016 17:18:26,1936002149,3/25/2016 17:14:23,false,clixsense,1.0,31738779,CAN,ON,Toronto,45.72.149.165,"{""text"":""I'll check for a 5:00pm route."",""result"":""yes""}",I'll check for a 5:00pm route.,,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")",street at *NUMBER o'clock *AMPM,"departure_time=5:00, ampm=pm",confirm,street at five o'clock pm
917138516,3/25/2016 18:06:31,1936065257,3/25/2016 17:59:06,false,neodev,1.0,23017572,USA,CA,Los Angeles,67.215.241.22,"{""text"":""sorry sir but i could not found none at 2:00"",""result"":""yes""}",sorry sir but i could not found none at 2:00,,"inform(departure_time=""*TIME"")",*NUMBER o'clock,"*=notfound, departure_time=2:00",apologize,two o'clock
917138517,3/25/2016 16:37:33,1935944897,3/25/2016 16:35:29,false,zoombucks,1.0,4711962,CAN,ON,Markham,76.68.126.247,"{""text"":""not found to bryant park"",""result"":""yes""}",not found to bryant park,,"inform(to_stop=""*STOP"")",i want to go to *STOP instead,"*=notfound, to_stop=Bryant Park",apologize,i want to go to Bryant Park instead
917138518,3/25/2016 17:20:02,1936004431,3/25/2016 17:12:13,false,bitcoinget,1.0,36685238,USA,CO,Denver,63.225.107.244,"{""text"":""Sorry, i cannot find any connections in half an hour."",""result"":""yes""}","Sorry, i cannot find any connections in half an hour.",,"inform(departure_time_rel=""*TIME_REL"")",in *NUMBER an hour,"*=notfound, departure_time_rel=0:30",apologize,in half an hour
917138519,3/25/2016 17:14:22,1935996789,3/25/2016 16:48:20,false,clixsense,1.0,31738779,CAN,ON,Toronto,45.72.149.165,"{""text"":""I did not find a connection in 30 minutes."",""result"":""yes""}",I did not find a connection in 30 minutes.,,"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")",what is the connection in *NUMBER an hour,"*=notfound, departure_time_rel=0:30",apologize,what is the connection in half an hour
917138520,3/25/2016 17:18:26,1936002146,3/25/2016 17:14:23,false,clixsense,1.0,31738779,CAN,ON,Toronto,45.72.149.165,"{""text"":""I'll check  for an alternative at 6:00pm."",""result"":""yes""}",I'll check  for an alternative at 6:00pm.,,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")",alternative at *NUMBER *AMPM,"departure_time=6:00, ampm=pm",confirm,alternative at six pm
917138521,3/25/2016 16:42:23,1935952095,3/25/2016 16:41:12,false,zoombucks,1.0,4711962,CAN,ON,Markham,76.68.126.247,"{""text"":""not found from columbus circle"",""result"":""yes""}",not found from columbus circle,,"inform(from_stop=""*STREET"")",i am starting from *STOP and heading towards *STOP,"*=notfound, from_stop=Columbus Circle",apologize,i am starting from Columbus Circle and heading towards *STOP
917138522,3/25/2016 16:37:33,1935944898,3/25/2016 16:35:29,false,zoombucks,1.0,4711962,CAN,ON,Markham,76.68.126.247,"{""text"":""take the subway from where to where"",""result"":""yes""}",take the subway from where to where,,"inform(vehicle=""*VEHICLE"")",can i get a *VEHICLE,"confirm: vehicle=subway; request: from_stop=?, to_stop=?",confirm-request,can i get a subway
917138523,3/25/2016 17:20:28,1936005118,3/25/2016 17:17:36,false,prodege,1.0,6309240,USA,CA,Los Angeles,69.75.54.130,"{""text"":""I'm sorry but there is no 11:00 am "",""result"":""yes""}",I'm sorry but there is no 11:00 am departure.,,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")",i would like a *NUMBER *AMPM,"*=notfound, departure_time=11:00, ampm=am",apologize,i would like a eleven am
917138524,3/25/2016 17:20:02,1936004429,3/25/2016 17:12:13,false,bitcoinget,1.0,36685238,USA,CO,Denver,63.225.107.244,"{""text"":""Sorry i cannot find a route from Grand Central."",""result"":""yes""}",Sorry i cannot find a route from Grand Central.,,"inform(from_stop=""*STREET"")",no from *STOP,"*=notfound, from_stop=Grand Central",apologize,no from Grand Central
917138525,3/25/2016 17:12:12,1935994116,3/25/2016 17:06:24,false,bitcoinget,1.0,36685238,USA,CO,Denver,63.225.107.244,"{""text"":""Sorry, i cannot find a connection at one pm"",""result"":""yes""}","Sorry, i cannot find a connection at one pm.",,"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")",can i get information about a connection at *NUMBER *AMPM,"*=notfound, departure_time=1:00, ampm=pm",apologize,can i get information about a connection at one pm
917138526,3/25/2016 17:24:46,1936010729,3/25/2016 17:20:02,false,bitcoinget,1.0,36685238,USA,CO,Denver,63.225.107.244,"{""text"":""Did you ask is there a connection by the subway?"",""result"":""yes""}",Did you ask is there a connection by the subway?,,"inform(vehicle=""*VEHICLE"")",is there a connection by *VEHICLE,vehicle=subway,confirm,is there a connection by subway
917138527,3/25/2016 17:37:22,1936026698,3/25/2016 17:35:56,false,clixsense,1.0,31738779,CAN,ON,Toronto,45.72.149.165,"{""text"":""I'll check for a bus route."",""result"":""yes""}",I'll check for a bus route.,,"inform(vehicle=""*VEHICLE"")",i want to take a *VEHICLE,vehicle=bus,confirm,i want to take a bus
917138528,3/25/2016 17:12:12,1935994114,3/25/2016 17:06:24,false,bitcoinget,1.0,36685238,USA,CO,Denver,63.225.107.244,"{""text"":""You will leave from Rockefeller Center"",""result"":""yes""}",You will leave from Rockefeller Center,,"confirm(from_stop=""*STREET"")",i'd like to depart from *STOP,from_stop=Rockefeller Center,confirm,i'd like to depart from Rockefeller Center
917138529,3/25/2016 16:58:15,1935973968,3/25/2016 16:53:11,false,prodege,1.0,6309240,USA,CA,Los Angeles,69.75.54.130,"{""text"":""So you are coming from East Broadway and heading to Bleeker Street, correct?"",""result"":""yes""}","So you are coming from East Broadway and heading to Bleeker Street, correct?",,"inform(from_stop=""*STOP"")",*STOP to bleeker street,from_stop=East Broadway,confirm,East Broadway to bleeker street
917138530,3/25/2016 16:42:23,1935952086,3/25/2016 16:41:12,false,zoombucks,1.0,4711962,CAN,ON,Markham,76.68.126.247,"{""text"":""not found take the bus"",""result"":""yes""}",not found take the bus,,"inform(vehicle=""*VEHICLE"")",yes be at the *VEHICLE,"*=notfound, vehicle=bus",apologize,yes be at the bus
917138531,3/25/2016 16:43:43,1935954036,3/25/2016 16:42:24,false,zoombucks,1.0,4711962,CAN,ON,Markham,76.68.126.247,"{""text"":""from where to cathedral parkway"",""result"":""yes""}",from where to cathedral parkway,,"inform(to_stop=""*STREET"")",i would like to go to *STOP f-,confirm: to_stop=Cathedral Parkway; request: from_stop=?,confirm-request,i would like to go to Cathedral Parkway f-
917138532,3/25/2016 16:37:33,1935944905,3/25/2016 16:35:29,false,zoombucks,1.0,4711962,CAN,ON,Markham,76.68.126.247,"{""text"":""not found take the bus"",""result"":""yes""}",not found take the bus,,"inform(vehicle=""*VEHICLE"")",i want to take the *VEHICLE,"*=notfound, vehicle=bus",apologize,i want to take the bus
917138533,3/25/2016 16:10:45,1935902317,3/25/2016 16:00:55,false,clixsense,1.0,22423108,CAN,ON,Bowmanville,69.156.101.168,"{""text"":""At 11:13am a bus on the M3 line will leave from Washington Square down Houston Street."",""result"":""yes""}",At 11:13am a bus on the M3 line will leave from Washington Square down Houston Street.,,"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")",and what is the connection in an *NUMBER an hour,"departure_time=11:13am, from_stop=Washington Square, vehicle=bus, direction=Houston Street, line=M3",reply,and what is the connection in an half an hour
917138534,3/25/2016 17:24:46,1936010734,3/25/2016 17:20:02,false,bitcoinget,1.0,36685238,USA,CO,Denver,63.225.107.244,"{""text"":""where are you going to?"",""result"":""yes""}",where are you going to?,,"inform(from_stop=""*STREET"")",i am leaving from *STOP and heading towards *STOP,to_stop=?,request,i am leaving from East Broadway and heading towards *STOP
917138535,3/25/2016 17:18:26,1936002162,3/25/2016 17:14:23,false,clixsense,1.0,31738779,CAN,ON,Toronto,45.72.149.165,"{""text"":""Where are you going to and where are yo leaving from at 2:00pm."",""result"":""yes""}",Where are you going to and where are yo leaving from at 2:00pm.,,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")",is there an alternate route at *NUMBER *AMPM,"confirm: departure_time=2:00, ampm=pm; request: from_stop=?, to_stop=?",confirm-request,is there an alternate route at two pm
917138536,3/25/2016 16:58:15,1935973966,3/25/2016 16:53:11,false,prodege,1.0,6309240,USA,CA,Los Angeles,69.75.54.130,"{""text"":""May I confirm that you are looking for another option for a later time?"",""result"":""yes""}",May I confirm that you are looking for another option for a later time?,,"inform(alternative=""next"")",is there another option,alternative=next,confirm,is there another option
917138537,3/25/2016 17:24:46,1936010730,3/25/2016 17:20:02,false,bitcoinget,1.0,36685238,USA,CO,Denver,63.225.107.244,"{""text"":""I will change the destination to Marble Hill M1 Franklin Street, your bus will arrive there at 10:02pm."",""result"":""yes""}","I will change the destination to Marble Hill M1 Franklin Street, your bus will arrive there at 10:02pm.",,"inform(to_stop=""*STREET"")",change destination to *STOP,"from_stop=Franklin Street, line=M1, direction=Marble Hill, departure_time=10:02pm, vehicle=bus",reply,change destination to Marble Hill
917138538,3/25/2016 17:17:35,1936001139,3/25/2016 17:13:47,false,prodege,1.0,6309240,USA,CA,Los Angeles,69.75.54.130,"{""text"":""By subway on Line L, there is a 2:11pm departure from Park Place to Cathedral Parkway."",""result"":""yes""}","By subway on Line L, there is a 2:11pm departure from Park Place to Cathedral Parkway.",,"inform(to_stop=""*STOP"")",destination is *STOP,"departure_time=2:11pm, direction=Cathedral Parkway, line=L, from_stop=Park Place, vehicle=subway",reply,destination is Cathedral Parkway
917138539,3/25/2016 16:58:15,1935973960,3/25/2016 16:53:11,false,prodege,1.0,6309240,USA,CA,Los Angeles,69.75.54.130,"{""text"":""Please let me confirm that you are looking for a connection by subway?"",""result"":""yes""}",Please let me confirm that you are looking for a connection by subway?,,"inform(vehicle=""*VEHICLE"")",what about a connection by *VEHICLE,vehicle=subway,confirm,what about a connection by subway
917138540,3/25/2016 17:12:12,1935994119,3/25/2016 17:06:24,false,bitcoinget,1.0,36685238,USA,CO,Denver,63.225.107.244,"{""text"":""Here are directions to Bryant Park"",""result"":""yes""}",Here are directions to Bryant Park,,"inform(to_stop=""*STREET"")",my destination is *STOP,to_stop=Bryant Park,confirm,my destination is Bryant Park
917138541,3/25/2016 17:28:02,1936015355,3/25/2016 17:24:47,false,bitcoinget,1.0,36685238,USA,CO,Denver,63.225.107.244,"{""text"":""Sorry i cannot find a route to Essex Street."",""result"":""yes""}",Sorry i cannot find a route to Essex Street.,,"inform(to_stop=""*STREET"")",to *STOP and,"*=notfound, to_stop=Essex Street",apologize,to Essex Street and
917138542,3/25/2016 16:41:12,1935950373,3/25/2016 16:39:12,false,zoombucks,1.0,4711962,CAN,ON,Markham,76.68.126.247,"{""text"":""from bowling green"",""result"":""yes""}",from bowling green,,"inform(from_stop=""*STOP"")",yes i would like to go from *STOP to gra-,from_stop=Bowling Green,confirm,yes i would like to go from Bowling Green to gra-
917138543,3/25/2016 17:27:01,1936013825,3/25/2016 17:18:27,false,clixsense,1.0,31738779,CAN,ON,Toronto,45.72.149.165,"{""text"":""I'll check for a 11:00am bus route."",""result"":""yes""}",I'll check for a 11:00am bus route.,,"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")",i want to leave at *NUMBER *AMPM by *VEHICLE,"departure_time=11:00, ampm=am, vehicle=bus",confirm,i want to leave at eleven am by bus
917138544,3/25/2016 17:17:35,1936001141,3/25/2016 17:13:47,false,prodege,1.0,6309240,USA,CA,Los Angeles,69.75.54.130,"{""text"":""May I confirm that your connection needs to arrive within 30 minutes?"",""result"":""yes""}",May I confirm that your connection needs to arrive within 30 minutes?,,"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")",ok and i need to find out the connection in a *NUMBER an hour,departure_time_rel=0:30,confirm,ok and i need to find out the connection in a half an hour
917138545,3/25/2016 17:37:22,1936026686,3/25/2016 17:35:56,false,clixsense,1.0,31738779,CAN,ON,Toronto,45.72.149.165,"{""text"":""Where are you going and where are you leaving from at 2:00pm."",""result"":""yes""}",Where are you going and where are you leaving from at 2:00pm.,,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")",is there an alternative route at *NUMBER *AMPM,"confirm: departure_time=2:00, ampm=pm; request: from_stop=?, to_stop=?",confirm-request,is there an alternative route at two pm
917138546,3/25/2016 17:05:45,1935985092,3/25/2016 16:58:16,false,prodege,1.0,6309240,USA,CA,Los Angeles,69.75.54.130,"{""text"":""Confirming that you are coming from Bowery."",""result"":""yes""}",Confirming that you are coming from Bowery.,,"inform(from_stop=""*STREET"")",from *STOP ,from_stop=Bowery,confirm,from Bowery 
917138547,3/25/2016 17:14:22,1935996786,3/25/2016 16:48:20,false,clixsense,1.0,31738779,CAN,ON,Toronto,45.72.149.165,"{""text"":""I'll check for a 10:00am subway route."",""result"":""yes""}",I'll check for a 10:00am subway route.,,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")",i wanna leave at *NUMBER *AMPM by *VEHICLE,"departure_time=10:00, ampm=am, vehicle=subway",confirm,i wanna leave at ten am by subway
917138548,3/25/2016 16:39:11,1935947142,3/25/2016 16:37:33,false,zoombucks,1.0,4711962,CAN,ON,Markham,76.68.126.247,"{""text"":""to roosevelt island"",""result"":""yes""}",to roosevelt island,,"inform(to_stop=""*STOP"")",no i would like to go to *STOP,to_stop=Roosevelt Island,confirm,no i would like to go to Roosevelt Island
917138549,3/25/2016 18:06:31,1936065262,3/25/2016 17:59:06,false,neodev,1.0,23017572,USA,CA,Los Angeles,67.215.241.22,"{""text"":""you want a connection at 8:00 pm but i need you to tell me where are you come from and where are you going?"",""result"":""yes""}",you want a connection at 8:00 pm but i need you to tell me where are you come from and where are you going?,,"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")",is there a connection at *NUMBER in the *AMPM,"confirm: departure_time=8:00, ampm=pm; request: from_stop=?, to_stop=?",confirm-request,is there a connection at eight in the evening
917138550,3/25/2016 17:20:28,1936005111,3/25/2016 17:17:36,false,prodege,1.0,6309240,USA,CA,Los Angeles,69.75.54.130,"{""text"":""I understand that you are looing for a connection at 10:00 am."",""result"":""yes""}",I understand that you are looing for a connection at 10:00 am.,,"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")",is there a connection at *NUMBER *AMPM,"departure_time=10:00, ampm=am",confirm,is there a connection at ten am
917138551,3/25/2016 17:37:22,1936026689,3/25/2016 17:35:56,false,clixsense,1.0,31738779,CAN,ON,Toronto,45.72.149.165,"{""text"":""I did not find a route to Prince Street."",""result"":""yes""}",I did not find a route to Prince Street.,,"inform(to_stop=""*STREET"")",going to *STOP,"*=notfound, to_stop=Prince Street",apologize,going to Prince Street
917138552,3/25/2016 17:12:22,1935994319,3/25/2016 17:02:49,false,prodege,1.0,13342404,CAN,BC,Westbank,154.20.52.37,"{""text"":""You are looking for an alternative at 4:00PM, please tell me from which location and where you are going."",""result"":""yes""}","You are looking for an alternative at 4:00PM, please tell me from which location and where you are going.",,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")",is there an alternative at *NUMBER *AMPM,"confirm: departure_time=4:00, ampm=pm; request: from_stop=?, to_stop=?",confirm-request,is there an alternative at four pm
917138553,3/25/2016 17:28:02,1936015363,3/25/2016 17:24:47,false,bitcoinget,1.0,36685238,USA,CO,Denver,63.225.107.244,"{""text"":""Sorry i cannot find a route through the subway."",""result"":""yes""}",Sorry i cannot find a route through the subway.,,"inform(vehicle=""*VEHICLE"")",*VEHICLE line,"*=notfound, vehicle=subway",apologize,subway line
917138554,3/25/2016 17:12:12,1935994120,3/25/2016 17:06:24,false,bitcoinget,1.0,36685238,USA,CO,Denver,63.225.107.244,"{""text"":""Sorry i cannot find directions from Rector street to Bryant Park on the subway."",""result"":""yes""}",Sorry i cannot find directions from Rector street to Bryant Park on the subway.,,"inform(from_stop=""*STREET"")&inform(to_stop=""*STREET"")&inform(vehicle=""*VEHICLE"")",yes i want to go from *STOP to *STOP on the *VEHICLE,"*=notfound, from_stop=Rector Street, to_stop=Bryant Park, vehicle=subway",apologize,yes i want to go from Rector Street to Bryant Park on the subway
917138555,3/25/2016 17:20:28,1936005116,3/25/2016 17:17:36,false,prodege,1.0,6309240,USA,CA,Los Angeles,69.75.54.130,"{""text"":""I understand that you will be at the stop in 30 minutes."",""result"":""yes""}",I understand that you will be at the stop in 30 minutes.,,"inform(departure_time_rel=""*TIME_REL"")",in *NUMBER an hour,departure_time_rel=0:30,confirm,in half an hour
917138556,3/25/2016 17:12:22,1935994323,3/25/2016 17:02:49,false,prodege,1.0,13342404,CAN,BC,Westbank,154.20.52.37,"{""text"":""Your are looking for an option at 10:00 in the morning."",""result"":""yes""}",Your are looking for an option at 10:00 in the morning.,,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")",is there an option at *NUMBER *AMPM,"departure_time=10:00, ampm=am",confirm,is there an option at ten am
917138557,3/25/2016 16:43:43,1935954041,3/25/2016 16:42:24,false,zoombucks,1.0,4711962,CAN,ON,Markham,76.68.126.247,"{""text"":""not found at 10:00 am morning"",""result"":""yes""}",not found at 10:00 am morning,,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")",ok what if i leave at around *NUMBER *AMPM,"*=notfound, departure_time=10:00, ampm=am",apologize,ok what if i leave at around ten am
917138558,3/25/2016 16:37:33,1935944901,3/25/2016 16:35:29,false,zoombucks,1.0,4711962,CAN,ON,Markham,76.68.126.247,"{""text"":""not found take the subway at 10:00 to delancey street"",""result"":""yes""}",not found take the subway at 10:00 to delancey street,,"inform(to_stop=""*STOP"")&inform(departure_time=""*TIME"")&inform(vehicle=""*VEHICLE"")",i would like *NUMBER o'clock *VEHICLE to *STOP,"*=notfound, to_stop=Delancey Street, departure_time=10:00, vehicle=subway",apologize,i would like ten o'clock subway to Delancey Street
917138559,3/25/2016 17:20:28,1936005115,3/25/2016 17:17:36,false,prodege,1.0,6309240,USA,CA,Los Angeles,69.75.54.130,"{""text"":""I'm sorry but the alternative time of 9:00 in the morning will not work on this route."",""result"":""yes""}",I'm sorry but the alternative time of 9:00 in the morning will not work on this route.,,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")",alternative at *NUMBER *AMPM,"*=notfound, departure_time=9:00, ampm=am",apologize,alternative at nine am
917138560,3/25/2016 17:24:46,1936010732,3/25/2016 17:20:02,false,bitcoinget,1.0,36685238,USA,CO,Denver,63.225.107.244,"{""text"":""Sorry i cannot find the next connection from Grand Street."",""result"":""yes""}",Sorry i cannot find the next connection from Grand Street.,,"inform(from_stop=""*STOP"")&inform(alternative=""next"")",what is the next connection from *STOP,"*=notfound, from_stop=Grand Street, alternative=next",apologize,what is the next connection from Grand Street
917138561,3/25/2016 16:41:12,1935950375,3/25/2016 16:39:12,false,zoombucks,1.0,4711962,CAN,ON,Markham,76.68.126.247,"{""text"":""from rector street next"",""result"":""yes""}",from rector street next,,"inform(from_stop=""*STOP"")&inform(alternative=""next"")",yes i would like to know when i could catch the next transportation from *STOP,"from_stop=Rector Street, alternative=next",confirm,yes i would like to know when i could catch the next transportation from Rector Street
