type	abstr_utt	abstr_da	utt	da
request	so i want to find a connection from *STOP	"inform(from_stop=""*STREET"")"	so i want to find a connection from Chambers Street	to_stop=?
confirm-request	so i want to find a connection from *STOP	"inform(from_stop=""*STREET"")"	so i want to find a connection from Houston Street	confirm: from_stop=Houston Street; request: to_stop=?
confirm	so i want to find a connection from *STOP	"inform(from_stop=""*STREET"")"	so i want to find a connection from Houston Street	from_stop=Houston Street
reply	yes i need a connection a *VEHICLE connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")"	yes i need a connection a subway connection from Dyckman Street to World Trade Center	departure_time=10:11pm, from_stop=Dyckman Street, vehicle=subway, direction=World Trade Center, line=M
apologize	yes i need a connection a *VEHICLE connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")"	yes i need a connection a subway connection from Columbus Circle to Herald Square	*=notfound, from_stop=Columbus Circle, to_stop=Herald Square, vehicle=subway
confirm	yes i need a connection a *VEHICLE connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")"	yes i need a connection a bus connection from Columbia University to Canal Street	from_stop=Columbia University, to_stop=Canal Street, vehicle=bus
reply	yes i would like to know when i could catch the next transportation from *STOP	"inform(from_stop=""*STOP"")&inform(alternative=""next"")"	yes i would like to know when i could catch the next transportation from Bowery	direction=City Hall, vehicle=subway, line=C, departure_time=8:13pm, from_stop=Bowery
apologize	yes i would like to know when i could catch the next transportation from *STOP	"inform(from_stop=""*STOP"")&inform(alternative=""next"")"	yes i would like to know when i could catch the next transportation from Park Place	*=notfound, from_stop=Park Place, alternative=next
confirm	yes i would like to know when i could catch the next transportation from *STOP	"inform(from_stop=""*STOP"")&inform(alternative=""next"")"	yes i would like to know when i could catch the next transportation from Columbus Circle	from_stop=Columbus Circle, alternative=next
reply	what if i leave at *NUMBER *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	what if i leave at twelve pm	direction=Delancey Street, departure_time=12:08pm, line=Z, vehicle=subway, from_stop=Port Authority Bus Terminal
apologize	what if i leave at *NUMBER *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	what if i leave at five pm	*=notfound, departure_time=5:00, ampm=pm
request	what if i leave at *NUMBER *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	what if i leave at one pm	from_stop=?, to_stop=?
confirm-request	what if i leave at *NUMBER *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	what if i leave at five pm	confirm: departure_time=5:00, ampm=pm; request: from_stop=?, to_stop=?
confirm	what if i leave at *NUMBER *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	what if i leave at five pm	departure_time=5:00, ampm=pm
reply	connection in *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	connection in half an hour	departure_time=8:12pm, direction=Bryant Park, vehicle=subway, line=R, from_stop=Essex Street
apologize	connection in *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	connection in half an hour	*=notfound, departure_time_rel=0:30
request	connection in *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	connection in half an hour	from_stop=?, to_stop=?
confirm-request	connection in *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	connection in half an hour	confirm: departure_time_rel=0:30; request: from_stop=?, to_stop=?
confirm	connection in *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	connection in half an hour	departure_time_rel=0:30
reply	connection in *NUMBER minutes	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	connection in twenty minutes	from_stop=Astor Place, direction=Port Authority Bus Terminal, departure_time=9:00am, vehicle=subway, line=L
apologize	connection in *NUMBER minutes	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	connection in fifteen minutes	*=notfound, departure_time_rel=0:15
request	connection in *NUMBER minutes	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	connection in twenty minutes	from_stop=?, to_stop=?
confirm-request	connection in *NUMBER minutes	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	connection in ten minutes	confirm: departure_time_rel=0:10; request: from_stop=?, to_stop=?
confirm	connection in *NUMBER minutes	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	connection in ten minutes	departure_time_rel=0:10
reply	depart in *NUMBER minutes	"inform(departure_time_rel=""*TIME_REL"")"	depart in thirty minutes	from_stop=Columbus Circle, vehicle=bus, line=M106, direction=Prince Street, departure_time=10:12am
apologize	depart in *NUMBER minutes	"inform(departure_time_rel=""*TIME_REL"")"	depart in thirty minutes	*=notfound, departure_time_rel=0:30
request	depart in *NUMBER minutes	"inform(departure_time_rel=""*TIME_REL"")"	depart in fifteen minutes	from_stop=?, to_stop=?
confirm-request	depart in *NUMBER minutes	"inform(departure_time_rel=""*TIME_REL"")"	depart in thirty minutes	confirm: departure_time_rel=0:30; request: from_stop=?, to_stop=?
confirm	depart in *NUMBER minutes	"inform(departure_time_rel=""*TIME_REL"")"	depart in thirty minutes	departure_time_rel=0:30
reply	what is duration	request(duration)	what is duration	duration=57 minutes
reply	what is the connection in *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	what is the connection in half an hour	direction=Port Authority Bus Terminal, departure_time=7:07am, from_stop=Chambers Street, vehicle=bus, line=M4
apologize	what is the connection in *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	what is the connection in half an hour	*=notfound, departure_time_rel=0:30
request	what is the connection in *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	what is the connection in half an hour	from_stop=?, to_stop=?
confirm-request	what is the connection in *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	what is the connection in half an hour	confirm: departure_time_rel=0:30; request: from_stop=?, to_stop=?
confirm	what is the connection in *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	what is the connection in half an hour	departure_time_rel=0:30
reply	what is the distance of the trip	request(distance)	what is the distance of the trip	distance=8.5 miles
reply	what is the distance of this trip	request(distance)	what is the distance of this trip	distance=0.5 miles
reply	what is the distance	request(distance)	what is the distance	distance=1.3 miles
reply	what is the duration of that	request(duration)	what is the duration of that	duration=76 minutes
reply	what is the duration of the distance of the trip	request(duration)&request(distance)	what is the duration of the distance of the trip	distance=3.3 miles, duration=56 minutes
reply	what is the duration of the trip	request(duration)	what is the duration of the trip	duration=18 minutes
reply	what is the duration of this trip	request(duration)	what is the duration of this trip	duration=13 minutes
reply	what is the duration	request(duration)	what is the duration	duration=54 minutes
reply	what is the how long is that trip	request(duration)&request(distance)	what is the how long is that trip	distance=6.7 miles, duration=66 minutes
reply	what is the next connection from *STOP	"inform(from_stop=""*STOP"")&inform(alternative=""next"")"	what is the next connection from Union Square	departure_time=10:12pm, line=M2, from_stop=Union Square, direction=Bowery, vehicle=bus
apologize	what is the next connection from *STOP	"inform(from_stop=""*STOP"")&inform(alternative=""next"")"	what is the next connection from City Hall	*=notfound, from_stop=City Hall, alternative=next
confirm	what is the next connection from *STOP	"inform(from_stop=""*STOP"")&inform(alternative=""next"")"	what is the next connection from Cathedral Parkway	from_stop=Cathedral Parkway, alternative=next
reply	what is the next connection	"inform(alternative=""next"")"	what is the next connection	from_stop=Broad Street, departure_time=11:00pm, vehicle=bus, direction=Cortlandt Street, line=M34
apologize	what is the next connection	"inform(alternative=""next"")"	what is the next connection	*=notfound, alternative=next
confirm	what is the next connection	"inform(alternative=""next"")"	what is the next connection	alternative=next
reply	what is the number of transfers	request(num_transfers)	what is the number of transfers	num_transfers=0
reply	when is the next connection	"request(departure_time=""*DEPARTURE_TIME"")&inform(alternative=""next"")"	when is the next connection	departure_time=2:13pm
confirm-reply	when is the next connection	"request(departure_time=""*DEPARTURE_TIME"")&inform(alternative=""next"")"	when is the next connection	confirm: alternative=next; reply: departure_time=2:13pm
confirm	when is the next connection	"request(departure_time=""*DEPARTURE_TIME"")&inform(alternative=""next"")"	when is the next connection	alternative=next
reply	where is the next connection	"inform(alternative=""next"")"	where is the next connection	departure_time=12:00pm, vehicle=subway, from_stop=Broad Street, direction=Times Square, line=7
apologize	where is the next connection	"inform(alternative=""next"")"	where is the next connection	*=notfound, alternative=next
confirm	where is the next connection	"inform(alternative=""next"")"	where is the next connection	alternative=next
reply	id like to find a *VEHICLE connection please	"inform(vehicle=""*VEHICLE"")"	id like to find a bus connection please	direction=Houston Street, vehicle=bus, departure_time=11:05am, from_stop=Canal Street, line=M86
apologize	id like to find a *VEHICLE connection please	"inform(vehicle=""*VEHICLE"")"	id like to find a bus connection please	*=notfound, vehicle=bus
request	id like to find a *VEHICLE connection please	"inform(vehicle=""*VEHICLE"")"	id like to find a bus connection please	from_stop=?, to_stop=?
confirm-request	id like to find a *VEHICLE connection please	"inform(vehicle=""*VEHICLE"")"	id like to find a bus connection please	confirm: vehicle=bus; request: from_stop=?, to_stop=?
confirm	id like to find a *VEHICLE connection please	"inform(vehicle=""*VEHICLE"")"	id like to find a bus connection please	vehicle=bus
reply	i'd like it from *STOP to the	"inform(from_stop=""*STOP"")"	i'd like it from Grand Central to the	from_stop=Grand Central, direction=Washington Square, departure_time=7:17am, line=M79, vehicle=bus
apologize	i'd like it from *STOP to the	"inform(from_stop=""*STOP"")"	i'd like it from Bowery to the	*=notfound, from_stop=Bowery
request	i'd like it from *STOP to the	"inform(from_stop=""*STOP"")"	i'd like it from Grand Street to the	to_stop=?
confirm-request	i'd like it from *STOP to the	"inform(from_stop=""*STOP"")"	i'd like it from Houston Street to the	confirm: from_stop=Houston Street; request: to_stop=?
confirm	i'd like it from *STOP to the	"inform(from_stop=""*STOP"")"	i'd like it from Houston Street to the	from_stop=Houston Street
reply	i'd like to find out connection at *NUMBER *AMPM	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	i'd like to find out connection at four pm	vehicle=bus, from_stop=Park Place, direction=Inwood, departure_time=4:04pm, line=M35
apologize	i'd like to find out connection at *NUMBER *AMPM	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	i'd like to find out connection at ten pm	*=notfound, departure_time=10:00, ampm=pm
request	i'd like to find out connection at *NUMBER *AMPM	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	i'd like to find out connection at eight pm	from_stop=?, to_stop=?
confirm-request	i'd like to find out connection at *NUMBER *AMPM	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	i'd like to find out connection at eleven am	confirm: departure_time=11:00, ampm=am; request: from_stop=?, to_stop=?
confirm	i'd like to find out connection at *NUMBER *AMPM	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	i'd like to find out connection at eleven am	departure_time=11:00, ampm=am
reply	i'd like to go from *STOP to the	"inform(from_stop=""*STOP"")"	i'd like to go from Bowling Green to the	departure_time=7:04pm, vehicle=bus, direction=Inwood, from_stop=Bowling Green, line=M101
