context_utt,context_freq,context_parse,response_da,response_nl1,response_nl2,response_nl3,context_utt_l,context_parse_l,response_da_l,response_nl1_l,response_nl2_l,response_nl3_l
is there an alternative to *NUMBER *AMPM i would like to take the *VEHICLE,1,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")","iconfirm(departure_time=""*DEPARTURE_TIME"")&iconfirm(ampm=""*AMPM"")&iconfirm(vehicle=""*VEHICLE"")&request(from_stop)&request(to_stop)","I understand that you want to take the *DEPARTURE_TIME *AMPM *VEHICLE, but from where to where?",You want to take the *VEHICLE at *DEPARTURE_TIME *AMPM. What is your route to and from?,"OK, you want to take the *VEHICLE at *DEPARTURE_TIME *AMPM, where are you leaving from and where are you going to?",is there an alternative to seven am i would like to take the subway,"inform(departure_time=""*TIME"")&inform(ampm=""am"")&inform(vehicle=""subway"")","iconfirm(departure_time=""7:00"")&iconfirm(ampm=""am"")&iconfirm(vehicle=""subway"")&request(from_stop)&request(to_stop)","I understand that you want to take the 7:00 am subway, but from where to where?",You want to take the subway at 7:00 am. What is your route to and from?,"OK, you want to take the subway at 7:00 am, where are you leaving from and where are you going to?"
is there a connection by *VEHICLE,3,"inform(vehicle=""*VEHICLE"")","iconfirm(vehicle=""*VEHICLE"")",I understand you want to travel by *VEHICLE.,I'll check for a *VEHICLE route.,I understand you want to take the *VEHICLE.,is there a connection by subway,"inform(vehicle=""subway"")","iconfirm(vehicle=""subway"")",I understand you want to travel by subway.,I'll check for a subway route.,I understand you want to take the subway.
at *NUMBER *AMPM,1,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")","inform_no_match(departure_time=""*DEPARTURE_TIME"")&inform_no_match(ampm=""*AMPM"")",I'm really sorry but the requested transportation at *DEPARTURE_TIME *AMPM is not found.,A route at *DEPARTURE_TIME *AMPM is not found.,"I'm sorry, I was not able to find a connection at *DEPARTURE_TIME *AMPM.",at three pm,"inform(departure_time=""*TIME"")&inform(ampm=""pm"")","inform_no_match(departure_time=""3:00"")&inform_no_match(ampm=""pm"")",I'm really sorry but the requested transportation at 3:00 pm is not found.,A route at 3:00 pm is not found.,"I'm sorry, I was not able to find a connection at 3:00 pm."
yes i want to depart from *STOP,1,"confirm(from_stop=""*STOP"")",request(to_stop),Where do you want to go to?,To what destination?,Going to where?,yes i want to depart from Astor Place,"confirm(from_stop=""*STOP"")",request(to_stop),Where do you want to go to?,To what destination?,Going to where?
i want to leave from *STOP and get to *STOP,1,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","iconfirm(from_stop=""*FROM_STOP"")&iconfirm(to_stop=""*TO_STOP"")",Confirming that you are looking to leave from *FROM_STOP and arrive at *TO_STOP.,"OK, you want to leave from *FROM_STOP to *TO_STOP.",I understand you want to go from *FROM_STOP to *TO_STOP.,i want to leave from Fulton Street and get to Central Park,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","iconfirm(from_stop=""Fulton Street"")&iconfirm(to_stop=""Central Park"")",Confirming that you are looking to leave from Fulton Street and arrive at Central Park.,"OK, you want to leave from Fulton Street to Central Park.",I understand you want to go from Fulton Street to Central Park.
yes i like to travel to *STOP,1,"inform(to_stop=""*STOP"")",request(from_stop),What station are you coming from?,Where are you leaving from?,From where do you want the connection?,yes i like to travel to Cathedral Parkway,"inform(to_stop=""*STOP"")",request(from_stop),What station are you coming from?,Where are you leaving from?,From where do you want the connection?
i want to travel from *STOP to *STOP,3,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform(vehicle=""*VEHICLE"")&inform(from_stop=""*FROM_STOP"")&inform(direction=""*DIRECTION"")&inform(line=""*LINE"")&inform(departure_time=""*DEPARTURE_TIME"")",At *DEPARTURE_TIME by *VEHICLE line *LINE from *FROM_STOP to *DIRECTION.,OK sir just take a *VEHICLE in the line *LINE at *DEPARTURE_TIME from *FROM_STOP to *DIRECTION.,Take the *VEHICLE from *FROM_STOP to *DIRECTION using line *LINE at *DEPARTURE_TIME.,i want to travel from Dyckman Street to Port Authority Bus Terminal,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform(vehicle=""subway"")&inform(from_stop=""Dyckman Street"")&inform(direction=""Port Authority Bus Terminal"")&inform(line=""R"")&inform(departure_time=""10:01pm"")",At 10:01pm by subway line R from Dyckman Street to Port Authority Bus Terminal.,OK sir just take a subway in the line R at 10:01pm from Dyckman Street to Port Authority Bus Terminal.,Take the subway from Dyckman Street to Port Authority Bus Terminal using line R at 10:01pm.
depart in *NUMBER minutes,1,"inform(departure_time_rel=""*TIME_REL"")",request(from_stop)&request(to_stop),From where to where?,Please tell me your destination and where you are departing from.,From where to where do you want to go?,depart in thirty minutes,"inform(departure_time_rel=""*TIME_REL"")",request(from_stop)&request(to_stop),From where to where?,Please tell me your destination and where you are departing from.,From where to where do you want to go?
i'm going to *STOP,2,"inform(to_stop=""*STOP"")","inform_no_match(to_stop=""*TO_STOP"")",I'm sad to say there is no connection to *TO_STOP.,No connections found to *TO_STOP.,I did not find a route to *TO_STOP.,i'm going to Central Park,"inform(to_stop=""*STOP"")","inform_no_match(to_stop=""Central Park"")",I'm sad to say there is no connection to Central Park.,No connections found to Central Park.,I did not find a route to Central Park.
is there a schedule for *NUMBER *AMPM,1,"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")","inform_no_match(departure_time=""*DEPARTURE_TIME"")&inform_no_match(ampm=""*AMPM"")",I'm sorry I cannot find a schedule for *DEPARTURE_TIME *AMPM.,The schedule for *DEPARTURE_TIME *AMPM is not found.,Apologies a schedule for *DEPARTURE_TIME *AMPM is not found.,is there a schedule for four pm,"inform(departure_time=""4:00"")&inform(ampm=""pm"")","inform_no_match(departure_time=""4:00"")&inform_no_match(ampm=""pm"")",I'm sorry I cannot find a schedule for 4:00 pm.,The schedule for 4:00 pm is not found.,Apologies a schedule for 4:00 pm is not found.
ok i want to go to *STOP,1,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""*TO_STOP"")",You want to go to *TO_STOP.,"OK then, you want *TO_STOP.",You want to go to *TO_STOP.,ok i want to go to Columbus Circle,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""Columbus Circle"")",You want to go to Columbus Circle.,"OK then, you want Columbus Circle.",You want to go to Columbus Circle.
i want to arrive at *STOP,3,"inform(to_stop=""*STOP"")","inform(line=""*LINE"")&inform(departure_time=""*DEPARTURE_TIME"")&inform(direction=""*DIRECTION"")&inform(from_stop=""*FROM_STOP"")&inform(vehicle=""*VEHICLE"")",The *VEHICLE line *LINE at *DEPARTURE_TIME can take you to *DIRECTION from *FROM_STOP.,You can use *VEHICLE *LINE at *DEPARTURE_TIME from *FROM_STOP to *DIRECTION.,You can take the *DEPARTURE_TIME *VEHICLE from *FROM_STOP to *DIRECTION on the line *LINE.,i want to arrive at Park Place,"inform(to_stop=""*STOP"")","inform(line=""E"")&inform(departure_time=""5:11pm"")&inform(direction=""Park Place"")&inform(from_stop=""Fulton Street"")&inform(vehicle=""subway"")",The subway line E at 5:11pm can take you to Park Place from Fulton Street.,You can use subway E at 5:11pm from Fulton Street to Park Place.,You can take the 5:11pm subway from Fulton Street to Park Place on the line E.
i want to arrive in *STOP,1,"inform(to_stop=""*STOP"")","inform_no_match(to_stop=""*TO_STOP"")",I'm really sorry but the requested transportation to *TO_STOP is not found.,A route to *TO_STOP is not found.,"I'm sorry, I could not find you a route to *TO_STOP.",i want to arrive in Bleecker Street,"inform(to_stop=""*STOP"")","inform_no_match(to_stop=""Bleecker Street"")",I'm really sorry but the requested transportation to Bleecker Street is not found.,A route to Bleecker Street is not found.,"I'm sorry, I could not find you a route to Bleecker Street."
no i want a *VEHICLE option,1,"inform(vehicle=""*VEHICLE"")","iconfirm(vehicle=""*VEHICLE"")&request(from_stop)&request(to_stop)","OK, you want a *VEHICLE connection, where are you traveling from and where are you going to?","I understand you want to take the *VEHICLE, but from where to where?",You want to take the *VEHICLE. Where are you leaving from and going to?,no i want a subway option,"inform(vehicle=""subway"")","iconfirm(vehicle=""subway"")&request(from_stop)&request(to_stop)","OK, you want a subway connection, where are you traveling from and where are you going to?","I understand you want to take the subway, but from where to where?",You want to take the subway. Where are you leaving from and going to?
how do i get from *STOP to *STOP,1,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform(from_stop=""*FROM_STOP"")&inform(line=""*LINE"")&inform(direction=""*DIRECTION"")&inform(vehicle=""*VEHICLE"")&inform(departure_time=""*DEPARTURE_TIME"")",Take line *LINE *VEHICLE at *DEPARTURE_TIME from *FROM_STOP direction *DIRECTION.,You take *VEHICLE line *LINE from *FROM_STOP to *DIRECTION at *DEPARTURE_TIME.,Take the *VEHICLE line *LINE from *FROM_STOP to *DIRECTION at *DEPARTURE_TIME.,how do i get from Fulton Street to Franklin Street,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform(from_stop=""Fulton Street"")&inform(line=""7"")&inform(direction=""Franklin Street"")&inform(vehicle=""subway"")&inform(departure_time=""3:19pm"")",Take line 7 subway at 3:19pm from Fulton Street direction Franklin Street.,You take subway line 7 from Fulton Street to Franklin Street at 3:19pm.,Take the subway line 7 from Fulton Street to Franklin Street at 3:19pm.
i want to find a connection from *STOP queen to *STOP,1,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform_no_match(from_stop=""*FROM_STOP"")&inform_no_match(to_stop=""*TO_STOP"")",I'm sorry there is no connection from *FROM_STOP to *TO_STOP.,A connection from *FROM_STOP to *TO_STOP is not found.,No route found from *FROM_STOP to *TO_STOP.,i want to find a connection from Inwood queen to Herald Square,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform_no_match(from_stop=""Inwood"")&inform_no_match(to_stop=""Herald Square"")",I'm sorry there is no connection from Inwood to Herald Square.,A connection from Inwood to Herald Square is not found.,No route found from Inwood to Herald Square.
change my destination to *STOP,1,"inform(to_stop=""*STOP"")","inform_no_match(to_stop=""*TO_STOP"")",I'm sorry there is no connection to *TO_STOP.,Not found to *TO_STOP.,I'm sorry I cannot find a connection to *TO_STOP.,change my destination to Columbia University,"inform(to_stop=""*STOP"")","inform_no_match(to_stop=""Columbia University"")",I'm sorry there is no connection to Columbia University.,Not found to Columbia University.,I'm sorry I cannot find a connection to Columbia University.
how long will it take to go from *STOP to *STOP,1,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&request(duration)","iconfirm(from_stop=""*FROM_STOP"")&iconfirm(to_stop=""*TO_STOP"")",From *FROM_STOP to *TO_STOP.,"From *FROM_STOP to *TO_STOP, sir.","OK, you want from *FROM_STOP to *TO_STOP.",how long will it take to go from Dyckman Street to Grand Street,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&request(duration)","iconfirm(from_stop=""Dyckman Street"")&iconfirm(to_stop=""Grand Street"")",From Dyckman Street to Grand Street.,"From Dyckman Street to Grand Street, sir.","OK, you want from Dyckman Street to Grand Street."
but i want to go to by by *VEHICLE,1,"inform(vehicle=""*VEHICLE"")",request(from_stop)&request(to_stop),"Where is it you would like to go, and from where?",But where? Where would you like to go?,Please confirm where you are coming from and where you are going to?,but i want to go to by by subway,"inform(vehicle=""*VEHICLE"")",request(from_stop)&request(to_stop),"Where is it you would like to go, and from where?",But where? Where would you like to go?,Please confirm where you are coming from and where you are going to?
can i go to *STOP,1,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""*TO_STOP"")&request(from_stop)","I understand you want to get to *TO_STOP, but from where will you be leaving?",You want to go to *TO_STOP. Where are you departing from?,"OK, you want to go to *TO_STOP, where are you traveling from?",can i go to Franklin Street,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""Franklin Street"")&request(from_stop)","I understand you want to get to Franklin Street, but from where will you be leaving?",You want to go to Franklin Street. Where are you departing from?,"OK, you want to go to Franklin Street, where are you traveling from?"
is there an alternate route at *NUMBER *AMPM,1,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")",request(from_stop)&request(to_stop),Where are you coming from and where are you trying to get to?,From where to where?,Fro where to where do you want to go?,is there an alternate route at eight am,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")",request(from_stop)&request(to_stop),Where are you coming from and where are you trying to get to?,From where to where?,Fro where to where do you want to go?
i would like to find a *VEHICLE,1,"inform(vehicle=""*VEHICLE"")","inform_no_match(vehicle=""*VEHICLE"")","I'm sorry, I cannot find any *VEHICLE.",Sorry but I could not find any *VEHICLE.,"I'm sorry, a *VEHICLE was not found.",i would like to find a subway,"inform(vehicle=""subway"")","inform_no_match(vehicle=""subway"")","I'm sorry, I cannot find any subway.",Sorry but I could not find any subway.,"I'm sorry, a subway was not found."
no port authority to *STOP,1,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""*TO_STOP"")&request(from_stop)",I understand you want to travel to *TO_STOP. Where are you leaving from?,Please give a location of where you want to go to *TO_STOP from?,"You want *TO_STOP, from where?",no port authority to East Broadway,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""East Broadway"")&request(from_stop)",I understand you want to travel to East Broadway. Where are you leaving from?,Please give a location of where you want to go to East Broadway from?,"You want East Broadway, from where?"
i need to find a connection from *STOP queen,1,"inform(from_stop=""*STOP"")","iconfirm(from_stop=""*FROM_STOP"")&request(to_stop)","From *FROM_STOP, to what direction?",You want a connection from *FROM_STOP. Where are you traveling to?,"You need to find a connection at *FROM_STOP, what is the destination?",i need to find a connection from Penn Station queen,"inform(from_stop=""*STOP"")","iconfirm(from_stop=""Penn Station"")&request(to_stop)","From Penn Station, to what direction?",You want a connection from Penn Station. Where are you traveling to?,"You need to find a connection at Penn Station, what is the destination?"
i want to go from *STOP to *STOP,2,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform(vehicle=""*VEHICLE"")&inform(direction=""*DIRECTION"")&inform(departure_time=""*DEPARTURE_TIME"")&inform(from_stop=""*FROM_STOP"")&inform(line=""*LINE"")",To travel to *DIRECTION from *FROM_STOP take the *VEHICLE on line *LINE at *DEPARTURE_TIME.,*VEHICLE line *LINE departs from *FROM_STOP at *DEPARTURE_TIME to *DIRECTION.,Take *LINE *VEHICLE at *DEPARTURE_TIME from *FROM_STOP to *DIRECTION.,i want to go from Penn Station to Bleecker Street,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform(vehicle=""subway"")&inform(direction=""Bleecker Street"")&inform(departure_time=""9:04pm"")&inform(from_stop=""Penn Station"")&inform(line=""J"")",To travel to Bleecker Street from Penn Station take the subway on line J at 9:04pm.,Subway line J departs from Penn Station at 9:04pm to Bleecker Street.,Take J subway at 9:04pm from Penn Station to Bleecker Street.
no i want to arrive at *STOP,2,"inform(to_stop=""*STOP"")","inform(departure_time=""*DEPARTURE_TIME"")&inform(from_stop=""*FROM_STOP"")&inform(direction=""*DIRECTION"")&inform(vehicle=""*VEHICLE"")&inform(line=""*LINE"")",There is a *VEHICLE at *DEPARTURE_TIME going from *FROM_STOP to *DIRECTION using line *LINE.,Take *VEHICLE line *LINE at *DEPARTURE_TIME from *FROM_STOP to *DIRECTION.,From *FROM_STOP to *DIRECTION in line *LINE *VEHICLE at *DEPARTURE_TIME.,no i want to arrive at Dyckman Street,"inform(to_stop=""*STOP"")","inform(departure_time=""10:02am"")&inform(from_stop=""Times Square"")&inform(direction=""Dyckman Street"")&inform(vehicle=""bus"")&inform(line=""M14"")",There is a bus at 10:02am going from Times Square to Dyckman Street using line M14.,Take bus line M14 at 10:02am from Times Square to Dyckman Street.,From Times Square to Dyckman Street in line M14 bus at 10:02am.
yes i am leaving from *STOP and i would like to get to *STOP,1,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform_no_match(from_stop=""*FROM_STOP"")&inform_no_match(to_stop=""*TO_STOP"")",I'm sorry there is no connection from *FROM_STOP to *TO_STOP.,"I'm sorry, a route from *FROM_STOP to the *TO_STOP was not found.","Sorry, *FROM_STOP to *TO_STOP is not found.",yes i am leaving from Penn Station and i would like to get to World Trade Center,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform_no_match(from_stop=""Penn Station"")&inform_no_match(to_stop=""World Trade Center"")",I'm sorry there is no connection from Penn Station to World Trade Center.,"I'm sorry, a route from Penn Station to the World Trade Center was not found.","Sorry, Penn Station to World Trade Center is not found."
i'd like to depart from *STOP,1,"confirm(from_stop=""*STOP"")","iconfirm(from_stop=""*FROM_STOP"")",I understand you are leaving from *FROM_STOP.,"Yes, from *FROM_STOP.",You will leave from *FROM_STOP.,i'd like to depart from Rockefeller Center,"confirm(from_stop=""*STOP"")","iconfirm(from_stop=""Rockefeller Center"")",I understand you are leaving from Rockefeller Center.,"Yes, from Rockefeller Center.",You will leave from Rockefeller Center.
no i want a *VEHICLE option,1,"inform(vehicle=""*VEHICLE"")","iconfirm(vehicle=""*VEHICLE"")","OK, you wish to take the *VEHICLE.",I confirm you wish to travel by *VEHICLE.,You want a *VEHICLE option.,no i want a subway option,"inform(vehicle=""subway"")","iconfirm(vehicle=""subway"")","OK, you wish to take the subway.",I confirm you wish to travel by subway.,You want a subway option.
yes i like to travel to *STOP,1,"inform(to_stop=""*STOP"")","inform(from_stop=""*FROM_STOP"")&inform(direction=""*DIRECTION"")&inform(line=""*LINE"")&inform(departure_time=""*DEPARTURE_TIME"")&inform(vehicle=""*VEHICLE"")",The *LINE *VEHICLE leaves from *FROM_STOP at *DEPARTURE_TIME going to *DIRECTION.,Take the *VEHICLE from *FROM_STOP to *DIRECTION at *DEPARTURE_TIME on line *LINE.,"From *FROM_STOP, use *VEHICLE *LINE at *DEPARTURE_TIME to reach *DIRECTION. Happy travels!",yes i like to travel to Grand Street,"inform(to_stop=""*STOP"")","inform(from_stop=""Delancey Street"")&inform(direction=""Grand Street"")&inform(line=""M103"")&inform(departure_time=""2:01pm"")&inform(vehicle=""bus"")",The M103 bus leaves from Delancey Street at 2:01pm going to Grand Street.,Take the bus from Delancey Street to Grand Street at 2:01pm on line M103.,"From Delancey Street, use bus M103 at 2:01pm to reach Grand Street. Happy travels!"
thank you i need to at *NUMBER oclock and on a *VEHICLE to *STOP,1,"inform(to_stop=""*STOP"")&inform(departure_time=""*TIME"")&inform(vehicle=""*VEHICLE"")","inform(from_stop=""*FROM_STOP"")&inform(departure_time=""*DEPARTURE_TIME"")&inform(vehicle=""*VEHICLE"")&inform(direction=""*DIRECTION"")&inform(line=""*LINE"")","OK, the *LINE *VEHICLE at *DEPARTURE_TIME can take you from *FROM_STOP to *DIRECTION.",You can use *VEHICLE *LINE at *DEPARTURE_TIME from *FROM_STOP to *DIRECTION.,You can take the *DEPARTURE_TIME *VEHICLE from *FROM_STOP to *DIRECTION. It's the line *LINE.,thank you i need to at nine oclock and on a bus to Marble Hill,"inform(to_stop=""*STOP"")&inform(departure_time=""*TIME"")&inform(vehicle=""bus"")","inform(from_stop=""Washington Square"")&inform(departure_time=""9:00am"")&inform(vehicle=""bus"")&inform(direction=""Marble Hill"")&inform(line=""M60"")","OK, the M60 bus at 9:00am can take you from Washington Square to Marble Hill.",You can use bus M60 at 9:00am from Washington Square to Marble Hill.,You can take the 9:00am bus from Washington Square to Marble Hill. It's the line M60.
i'm looking for a *NUMBER *AMPM connection,1,"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")","iconfirm(departure_time=""*DEPARTURE_TIME"")&iconfirm(ampm=""*AMPM"")&request(from_stop)&request(to_stop)",I understand you want a *DEPARTURE_TIME *AMPM connection. Please confirm what stop you are coming from and what stop you are going to.,Where are you going to and where are you leaving from at *DEPARTURE_TIME *AMPM.,"Yes, *DEPARTURE_TIME *AMPM. But where to? Where would you like to go?",i'm looking for a two pm connection,"inform(departure_time=""2:00"")&inform(ampm=""pm"")","iconfirm(departure_time=""2:00"")&iconfirm(ampm=""pm"")&request(from_stop)&request(to_stop)",I understand you want a 2:00 pm connection. Please confirm what stop you are coming from and what stop you are going to.,Where are you going to and where are you leaving from at 2:00 pm.,"Yes, 2:00 pm. But where to? Where would you like to go?"
is there a connection in *NUMBER minutes,1,"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")",request(from_stop)&request(to_stop),From which place to where?,"Sir, I need you to tell me from where do you want to go and where do you want to reach?",Where are you leaving from and where are you going to?,is there a connection in twenty minutes,"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")",request(from_stop)&request(to_stop),From which place to where?,"Sir, I need you to tell me from where do you want to go and where do you want to reach?",Where are you leaving from and where are you going to?
what is the connection in *NUMBER an hour,2,"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")","iconfirm(departure_time_rel=""*DEPARTURE_TIME_REL"")&request(from_stop)&request(to_stop)",So you want to leave in *DEPARTURE_TIME_REL. Where are you coming from and where are you trying to get to?,You want *DEPARTURE_TIME_REL. From where to where?,"I understand that you want the connection in *DEPARTURE_TIME_REL, but from where to where?",what is the connection in half an hour,"inform(departure_time_rel=""0:30"")","iconfirm(departure_time_rel=""0:30"")&request(from_stop)&request(to_stop)",So you want to leave in 0:30. Where are you coming from and where are you trying to get to?,You want 0:30. From where to where?,"I understand that you want the connection in 0:30, but from where to where?"
is there an option at *NUMBER *AMPM,1,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")",request(from_stop)&request(to_stop),Where are you coming from and where are you trying to go to?,From where to where?,From where to where do you want to go?,is there an option at two pm,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")",request(from_stop)&request(to_stop),Where are you coming from and where are you trying to go to?,From where to where?,From where to where do you want to go?
