type	abstr_utt	abstr_da	utt	da
request	i want to depart from *STOP	"confirm(from_stop=""*STREET"")"	i want to depart from Bryant Park	to_stop=?
apologize	how to travel to *STOP	"inform(to_stop=""*STOP"")"	how to travel to Dyckman Street	*=notfound, to_stop=Dyckman Street
confirm-request	could i get a *VEHICLE route at *NUMBER in the *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")"	could i get a subway route at five in the afternoon	confirm: departure_time=5:00, ampm=pm, vehicle=subway; request: from_stop=?, to_stop=?
apologize	i would rather take the *VEHICLE	"inform(vehicle=""*VEHICLE"")"	i would rather take the subway	*=notfound, vehicle=subway
reply	i need a trip going from *STOP to *STOP	"inform(from_stop=""*STREET"")&inform(to_stop=""*STREET"")"	i need a trip going from Wall Street to Rockefeller Center	vehicle=bus, departure_time=8:13am, direction=Rockefeller Center, line=M12, from_stop=Wall Street
apologize	travelling to *STOP	"inform(to_stop=""*STREET"")"	travelling to Rockefeller Center	*=notfound, to_stop=Rockefeller Center
confirm	i need a ride at *NUMBER *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	i need a ride at eight am	departure_time=8:00, ampm=am
confirm	transit schedule from *STOP to *STOP	"inform(to_stop=""*STREET"")&inform(from_stop=""*STOP"")"	transit schedule from Canal Street to Prince Street	to_stop=Prince Street, from_stop=Canal Street
reply	what is the duration and arrival time	"request(arrival_time=""*ARRIVAL_TIME"")&request(duration)"	what is the duration and arrival time	duration=67 minutes, arrival_time=12:47pm
request	a way to go not by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	a way to go not by bus	from_stop=?, to_stop=?
apologize	from *STOP	"inform(from_stop=""*STREET"")"	from Houston Street	*=notfound, from_stop=Houston Street
reply	by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	by subway	vehicle=subway, line=G, direction=Grand Central, from_stop=Lincoln Center, departure_time=9:14pm
request	i would like to go from *STOP to	"inform(from_stop=""*STREET"")"	i would like to go from Washington Square to	to_stop=?
reply	connection by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	connection by subway	direction=Essex Street, departure_time=8:03pm, vehicle=subway, from_stop=Inwood, line=2
reply	the second option	"inform(alternative=""2"")"	the second option	departure_time=2:10pm, direction=Herald Square, vehicle=bus, line=M104, from_stop=Marble Hill
request	is there an alternative route at *NUMBER *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	is there an alternative route at ten am	from_stop=?, to_stop=?
confirm-request	*VEHICLE line	"inform(vehicle=""*VEHICLE"")"	bus line	confirm: vehicle=bus; request: from_stop=?, to_stop=?
request	my destination is *STOP c o r t l a n d t st-	"inform(to_stop=""*STREET"")"	my destination is Grand Street c o r t l a n d t st-	from_stop=?
confirm	when is the next connection	"request(departure_time=""*DEPARTURE_TIME"")&inform(alternative=""next"")"	when is the next connection	alternative=next
confirm-request	i need a public transit route from departing from *STOP	"inform(from_stop=""*STREET"")"	i need a public transit route from departing from Cortlandt Street	confirm: from_stop=Cortlandt Street; request: to_stop=?
reply	transit itinerary from *STOP	"inform(from_stop=""*STREET"")"	transit itinerary from Penn Station	vehicle=subway, from_stop=Penn Station, direction=Canal Street, departure_time=11:04am, line=5
confirm-request	but i wanna go by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	but i wanna go by bus	confirm: vehicle=bus; request: from_stop=?, to_stop=?
apologize	i would like to go to *STOP f-	"inform(to_stop=""*STREET"")"	i would like to go to Central Park f-	*=notfound, to_stop=Central Park
confirm-request	i want to go to *STOP	"inform(to_stop=""*STOP"")"	i want to go to Columbia University	confirm: to_stop=Columbia University; request: from_stop=?
reply	ride on the *VEHICLE from delancey to *STOP	"inform(to_stop=""*STREET"")&inform(vehicle=""*VEHICLE"")"	ride on the subway from delancey to Times Square	vehicle=subway, direction=Times Square, line=6, from_stop=Central Park, departure_time=9:02am
confirm-reply	how long will it take to get to *STOP	"inform(to_stop=""*STOP"")&request(duration)"	how long will it take to get to World Trade Center	confirm: to_stop=World Trade Center; reply: duration=74 minutes
reply	is there a connection at *NUMBER o'clock *AMPM	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	is there a connection at eight o'clock pm	direction=Franklin Street, departure_time=8:12pm, line=Q, from_stop=Union Square, vehicle=subway
request	yes i would like to go from *STOP to gra-	"inform(from_stop=""*STOP"")"	yes i would like to go from Cortlandt Street to gra-	to_stop=?
apologize	i'd rather use the *VEHICLE	"inform(vehicle=""*VEHICLE"")"	i'd rather use the subway	*=notfound, vehicle=subway
confirm-request	i want to leave at *NUMBER *AMPM by *VEHICLE	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")"	i want to leave at eleven am by bus	confirm: departure_time=11:00, ampm=am, vehicle=bus; request: from_stop=?, to_stop=?
reply	i'd like to find out connection at *NUMBER *AMPM	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	i'd like to find out connection at nine pm	departure_time=9:03pm, line=D, vehicle=subway, from_stop=Columbia University, direction=Chambers Street
apologize	no i want a *VEHICLE option	"inform(vehicle=""*VEHICLE"")"	no i want a subway option	*=notfound, vehicle=subway
reply	time requirement	request(duration)	time requirement	duration=74 minutes
reply	is there a later option	"inform(alternative=""next"")"	is there a later option	vehicle=subway, line=M, departure_time=3:04pm, direction=Fulton Street, from_stop=Broad Street
confirm-request	an alternative at *NUMBER *AMPM by *VEHICLE	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")"	an alternative at eight pm by subway	confirm: departure_time=8:00, ampm=pm, vehicle=subway; request: from_stop=?, to_stop=?
confirm-request	can i get a ride at *NUMBER *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	can i get a ride at nine pm	confirm: departure_time=9:00, ampm=pm; request: from_stop=?, to_stop=?
request	i want to go i want to go from *STOP	"inform(from_stop=""*STREET"")"	i want to go i want to go from Delancey Street	to_stop=?
apologize	i'm travelling from *STOP to *STOP	"inform(from_stop=""*STREET"")&inform(to_stop=""*STREET"")"	i'm travelling from Lincoln Center to Port Authority Bus Terminal	*=notfound, from_stop=Lincoln Center, to_stop=Port Authority Bus Terminal
apologize	i need a public transit route from *STOP to *STOP	"inform(from_stop=""*STREET"")&inform(to_stop=""*STREET"")"	i need a public transit route from Rockefeller Center to Inwood	*=notfound, from_stop=Rockefeller Center, to_stop=Inwood
confirm	connection by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	connection by bus	vehicle=bus
confirm	no is there an option at *NUMBER *AMPM	"inform(ampm=""*AMPM"")"	no is there an option at *NUMBER pm	ampm=pm
confirm	is there another alternative for *NUMBER o'clock in the *AMPM by taking the *VEHICLE	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")&inform(alternative=""next"")"	is there another alternative for seven o'clock in the morning by taking the bus	departure_time=7:00, ampm=am, vehicle=bus, alternative=next
request	i need to leave at *NUMBER in the *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	i need to leave at eight in the morning	from_stop=?, to_stop=?
request	thank you i need to at *NUMBER oclock and on a *VEHICLE to *STOP	"inform(to_stop=""*STREET"")&inform(departure_time=""*TIME"")&inform(vehicle=""*VEHICLE"")"	thank you i need to at ten oclock and on a bus to Port Authority Bus Terminal	from_stop=?
reply	is there a schedule at *NUMBER *AMPM	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	is there a schedule at twelve pm	vehicle=bus, direction=Columbus Circle, from_stop=Times Square, line=M9, departure_time=12:16pm
apologize	change to *STOP	"inform(to_stop=""*STREET"")"	change to Bleecker Street	*=notfound, to_stop=Bleecker Street
request	can i how about if i leave at *NUMBER *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	can i how about if i leave at ten pm	from_stop=?, to_stop=?
reply	is there another connection after	"inform(alternative=""next"")"	is there another connection after	vehicle=subway, from_stop=Roosevelt Island, departure_time=1:02pm, line=E, direction=Bryant Park
confirm-request	what about the connection at *NUMBER o'clock in the *AMPM i prefer to take the *VEHICLE	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")"	what about the connection at four o'clock in the afternoon i prefer to take the subway	confirm: departure_time=4:00, ampm=pm, vehicle=subway; request: from_stop=?, to_stop=?
request	change the destination to *STOP	"inform(to_stop=""*STOP"")"	change the destination to Houston Street	from_stop=?
confirm	yes i want to go from *STOP to *STOP on the *VEHICLE	"inform(from_stop=""*STREET"")&inform(to_stop=""*STREET"")&inform(vehicle=""*VEHICLE"")"	yes i want to go from Columbia University to East Broadway on the bus	from_stop=Columbia University, to_stop=East Broadway, vehicle=bus
reply	my destination is *STOP	"inform(to_stop=""*STREET"")"	my destination is Bowling Green	vehicle=bus, line=M14, departure_time=9:10am, direction=Bowling Green, from_stop=Wall Street
request	no i want to depart from *STOP	"confirm(from_stop=""*STREET"")"	no i want to depart from Inwood	to_stop=?
confirm	a way to go not by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	a way to go not by subway	vehicle=subway
apologize	from *STOP t-	"inform(from_stop=""*STREET"")"	from Dyckman Street t-	*=notfound, from_stop=Dyckman Street
reply	yes i'd like to travel from *STOP to *STOP	"inform(from_stop=""*STREET"")&inform(to_stop=""*STREET"")"	yes i'd like to travel from Penn Station to Columbia University	line=M101, vehicle=bus, direction=Columbia University, from_stop=Penn Station, departure_time=9:01pm
reply	i would prefer to go by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	i would prefer to go by subway	direction=Union Square, departure_time=11:03am, vehicle=subway, line=B, from_stop=Franklin Street
reply	how long will it take to go from *STOP to *STOP by *VEHICLE	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")&request(duration)"	how long will it take to go from East Broadway to Chambers Street by subway	duration=36 minutes
request	change to *STOP	"inform(to_stop=""*STREET"")"	change to Penn Station	from_stop=?
reply	yes i want to go from *STOP to *STOP on the *VEHICLE	"inform(from_stop=""*STREET"")&inform(to_stop=""*STREET"")&inform(vehicle=""*VEHICLE"")"	yes i want to go from Washington Square to Canal Street on the subway	line=Q, from_stop=Washington Square, direction=Canal Street, vehicle=subway, departure_time=11:03am
reply	how long does that take	request(duration)	how long does that take	duration=43 minutes
confirm	a *NUMBER o clock *VEHICLE	"inform(vehicle=""*VEHICLE"")"	a *NUMBER o clock bus	vehicle=bus
confirm-request	is there a connection in *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	is there a connection in half an hour	confirm: departure_time_rel=0:30; request: from_stop=?, to_stop=?
apologize	want to go to *STOP	"inform(to_stop=""*STREET"")"	want to go to Rector Street	*=notfound, to_stop=Rector Street
reply	what connection will i be in *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	what connection will i be in half an hour	direction=World Trade Center, departure_time=9:05am, from_stop=Houston Street, line=M7, vehicle=bus
apologize	i am leaving from *STOP and heading towards *STOP	"inform(from_stop=""*STREET"")"	i am leaving from Essex Street and heading towards *STOP	*=notfound, from_stop=Essex Street
reply	i want to take a *VEHICLE	"inform(vehicle=""*VEHICLE"")"	i want to take a subway	vehicle=subway, from_stop=Lincoln Center, line=L, departure_time=8:17am, direction=Inwood
reply	how long will i be traveling	request(distance)	how long will i be traveling	distance=1.0 miles
confirm	from *STOP	"inform(from_stop=""*STREET"")"	from Chambers Street	from_stop=Chambers Street
confirm-request	what if i leave at *NUMBER *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	what if i leave at eight pm	confirm: departure_time=8:00, ampm=pm; request: from_stop=?, to_stop=?
reply	i want to arrive in *STOP	"inform(to_stop=""*STOP"")"	i want to arrive in Herald Square	vehicle=bus, direction=Herald Square, departure_time=7:13am, from_stop=Roosevelt Island, line=M86
confirm-request	i want to find a connection from *STOP	"inform(from_stop=""*STREET"")"	i want to find a connection from Bryant Park	confirm: from_stop=Bryant Park; request: to_stop=?
apologize	is there an alternative later time	"inform(alternative=""next"")"	is there an alternative later time	*=notfound, alternative=next
apologize	i want a *VEHICLE connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")"	i want a bus connection from Port Authority Bus Terminal to Roosevelt Island	*=notfound, from_stop=Port Authority Bus Terminal, to_stop=Roosevelt Island, vehicle=bus
reply	ok i want to go to *STOP	"inform(to_stop=""*STREET"")"	ok i want to go to Astor Place	from_stop=Chambers Street, line=M104, direction=Astor Place, vehicle=bus, departure_time=9:18pm
confirm-request	i am starting from *STOP and heading towards *STOP	"inform(from_stop=""*STREET"")"	i am starting from Central Park and heading towards *STOP	confirm: from_stop=Central Park; request: to_stop=?
apologize	i want to find a connection from *STOP queen to *STOP	"inform(from_stop=""*STREET"")&inform(to_stop=""*STREET"")"	i want to find a connection from Inwood queen to Herald Square	*=notfound, from_stop=Inwood, to_stop=Herald Square
reply	what time will i get to *STOP	"inform(to_stop=""*STREET"")&request(arrival_time=""*ARRIVAL_TIME"")"	what time will i get to Dyckman Street	arrival_time=12:26pm
reply	yes can i have a connection to from *STOP to ro	"inform(from_stop=""*STREET"")"	yes can i have a connection to from Grand Central to ro	direction=Bryant Park, line=M98, from_stop=Grand Central, vehicle=bus, departure_time=10:13pm
confirm	okay can i get another ride	"inform(alternative=""next"")"	okay can i get another ride	alternative=next
reply	and how many transfers would that be	request(num_transfers)	and how many transfers would that be	num_transfers=1
confirm	where is the next connection	"inform(alternative=""next"")"	where is the next connection	alternative=next
confirm	i would rather take the *VEHICLE	"inform(vehicle=""*VEHICLE"")"	i would rather take the bus	vehicle=bus
apologize	depart in *NUMBER minutes	"inform(departure_time_rel=""*TIME_REL"")"	depart in fifteen minutes	*=notfound, departure_time_rel=0:15
request	no is there a schedule at *NUMBER *AMPM	"inform(ampm=""*AMPM"")"	no is there a schedule at *NUMBER am	from_stop=?, to_stop=?
reply	is there an alternate time later	"inform(alternative=""next"")"	is there an alternate time later	line=J, departure_time=8:04pm, from_stop=Astor Place, direction=Rector Street, vehicle=subway
apologize	is there a time i can leave at *NUMBER *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	is there a time i can leave at eight pm	*=notfound, departure_time=8:00, ampm=pm
confirm	in *NUMBER minutes	"inform(departure_time_rel=""*TIME_REL"")"	in ten minutes	departure_time_rel=0:10
reply	i want to find a *VEHICLE connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")"	i want to find a subway connection from Lincoln Center to Grand Street	direction=Grand Street, departure_time=7:00am, vehicle=subway, line=M, from_stop=Lincoln Center
request	is there a schedule at *NUMBER o'clock *AMPM	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	is there a schedule at ten o'clock pm	from_stop=?, to_stop=?
apologize	i want to get to *STOP	"inform(to_stop=""*STOP"")"	i want to get to Bowery	*=notfound, to_stop=Bowery
apologize	i'd like to depart from *STOP	"confirm(from_stop=""*STREET"")"	i'd like to depart from Cortlandt Street	*=notfound, from_stop=Cortlandt Street
apologize	is there *NUMBER at *NUMBER o'clock in the *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	is there twelve at twelve o'clock in the evening	*=notfound, departure_time=12:00, ampm=pm
apologize	is there a ride at a later time	"inform(alternative=""next"")"	is there a ride at a later time	*=notfound, alternative=next
confirm	what about a connection at *NUMBER *AMPM	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	what about a connection at two pm	departure_time=2:00, ampm=pm
apologize	my destination is *STOP	"inform(to_stop=""*STREET"")"	my destination is Grand Street	*=notfound, to_stop=Grand Street
reply	i am travelling from *STOP and my destination is *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")"	i am travelling from East Broadway and my destination is Columbia University	from_stop=East Broadway, departure_time=5:01pm, direction=Columbia University, vehicle=bus, line=M104
request	can i change the destination to *STOP	"inform(to_stop=""*STOP"")"	can i change the destination to Park Place	from_stop=?
apologize	no i want to arrive at *STOP	"inform(to_stop=""*STOP"")"	no i want to arrive at Marble Hill	*=notfound, to_stop=Marble Hill
reply	can i go from *STOP to *STOP	"inform(to_stop=""*STREET"")&inform(from_stop=""*STOP"")"	can i go from Rockefeller Center to Fulton Street	direction=Fulton Street, from_stop=Rockefeller Center, line=M11, vehicle=bus, departure_time=11:02am
reply	i need to know about trips starting from *STOP and going to *STOP	"inform(from_stop=""*STREET"")&inform(to_stop=""*STOP"")"	i need to know about trips starting from Dyckman Street and going to Bowery	departure_time=2:14pm, vehicle=bus, from_stop=Dyckman Street, direction=Bowery, line=M50
request	is there an alternative to take the *VEHICLE	"inform(vehicle=""*VEHICLE"")"	is there an alternative to take the bus	from_stop=?, to_stop=?
reply	what are the number of transfers	request(num_transfers)	what are the number of transfers	num_transfers=2
reply	i'm traveling from *STOP	"inform(from_stop=""*STOP"")"	i'm traveling from Times Square	line=M98, vehicle=bus, from_stop=Times Square, departure_time=10:16pm, direction=Franklin Street
confirm-request	i would like to depart from *STOP	"confirm(from_stop=""*STREET"")"	i would like to depart from Marble Hill	confirm: from_stop=Marble Hill; request: to_stop=?
apologize	is there a schedule at *NUMBER *AMPM	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	is there a schedule at four pm	*=notfound, departure_time=4:00, ampm=pm
reply	is there a connection in *NUMBER minutes	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	is there a connection in ten minutes	departure_time=8:12am, direction=City Hall, vehicle=subway, line=Q, from_stop=Broad Street
apologize	i'm changing go to *STOP	"inform(to_stop=""*STOP"")"	i'm changing go to Fulton Street	*=notfound, to_stop=Fulton Street
confirm	i want to leave from *STOP and go to *STOP	"inform(to_stop=""*STREET"")&inform(from_stop=""*STOP"")"	i want to leave from Canal Street and go to Lincoln Center	to_stop=Lincoln Center, from_stop=Canal Street
confirm	yes i would like to go from *STOP to *STOP	"inform(from_stop=""*STREET"")&inform(to_stop=""*STOP"")"	yes i would like to go from Park Place to Grand Street	from_stop=Park Place, to_stop=Grand Street
confirm-request	i want to arrive at *STOP	"inform(to_stop=""*STOP"")"	i want to arrive at Chambers Street	confirm: to_stop=Chambers Street; request: from_stop=?
reply	i'm looking for a *NUMBER *AMPM connection	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	i'm looking for a ten am connection	departure_time=10:02am, direction=Roosevelt Island, from_stop=Cortlandt Street, vehicle=subway, line=B
reply	i would like to know how long that would take	request(duration)	i would like to know how long that would take	duration=37 minutes
confirm-request	is there a schedule for *NUMBER *AMPM	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	is there a schedule for eleven am	confirm: departure_time=11:00, ampm=am; request: from_stop=?, to_stop=?
apologize	*STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")"	Canal Street to Times Square	*=notfound, from_stop=Canal Street, to_stop=Times Square
confirm-request	is there an alternative at *NUMBER in the *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	is there an alternative at eleven in the morning	confirm: departure_time=11:00, ampm=am; request: from_stop=?, to_stop=?
reply	what time would i arrive	"request(arrival_time=""*ARRIVAL_TIME"")"	what time would i arrive	arrival_time=7:08am
confirm	yes transit itinerary from *STOP to *STOP	"inform(from_stop=""*STREET"")&inform(to_stop=""*STREET"")"	yes transit itinerary from Delancey Street to Franklin Street	from_stop=Delancey Street, to_stop=Franklin Street
confirm	no i want to go to *STOP	"inform(to_stop=""*STOP"")"	no i want to go to Lincoln Center	to_stop=Lincoln Center
confirm-request	no i would like to go to *STOP	"inform(to_stop=""*STREET"")"	no i would like to go to Times Square	confirm: to_stop=Times Square; request: from_stop=?
apologize	an alternative at *NUMBER *AMPM by *VEHICLE	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")"	an alternative at two pm by bus	*=notfound, departure_time=2:00, ampm=pm, vehicle=bus
confirm	depart in *NUMBER minutes	"inform(departure_time_rel=""*TIME_REL"")"	depart in fifteen minutes	departure_time_rel=0:15
confirm	i want to arrive in *STOP how long will that take	"inform(to_stop=""*STOP"")&request(duration)"	i want to arrive in Port Authority Bus Terminal how long will that take	to_stop=Port Authority Bus Terminal
confirm-request	change the destination to *STOP	"inform(to_stop=""*STOP"")"	change the destination to Roosevelt Island	confirm: to_stop=Roosevelt Island; request: from_stop=?
confirm	i want to go from *STOP	"inform(from_stop=""*STREET"")"	i want to go from Times Square	from_stop=Times Square
apologize	i need a connection in *NUMBER minutes	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	i need a connection in ten minutes	*=notfound, departure_time_rel=0:10
confirm-request	i would like to go to *STOP	"inform(to_stop=""*STOP"")"	i would like to go to Herald Square	confirm: to_stop=Herald Square; request: from_stop=?
confirm	are there any connections	"inform(alternative=""dontcare"")"	are there any connections	alternative=dontcare
apologize	from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")"	from Bowling Green to Rector Street	*=notfound, from_stop=Bowling Green, to_stop=Rector Street
confirm	how long will it take to get to *STOP to	"inform(to_stop=""*STOP"")&request(duration)"	how long will it take to get to Dyckman Street to	to_stop=Dyckman Street
confirm	but i want to go by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	but i want to go by subway	vehicle=subway
reply	when will the next *VEHICLE	"inform(vehicle=""*VEHICLE"")&request(departure_time=""*DEPARTURE_TIME"")&inform(alternative=""next"")"	when will the next bus	departure_time=10:29pm
reply	could i get the duration	request(duration)	could i get the duration	duration=30 minutes
reply	yes i like to travel to *STOP	"inform(to_stop=""*STREET"")"	yes i like to travel to Grand Street	from_stop=Delancey Street, direction=Grand Street, line=M103, departure_time=2:01pm, vehicle=bus
reply	distance of trip	request(distance)	distance of trip	distance=10.4 miles
reply	i'm traveling from *STOP to *STOP	"inform(to_stop=""*STREET"")&inform(from_stop=""*STOP"")"	i'm traveling from Inwood to Wall Street	from_stop=Inwood, direction=Wall Street, departure_time=10:15am, line=2, vehicle=subway
reply	best connection at *NUMBER *AMPM	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	best connection at eight pm	from_stop=Broad Street, departure_time=8:00pm, vehicle=bus, direction=Cortlandt Street, line=M101
confirm-request	port authority to *STOP	"inform(to_stop=""*STREET"")"	port authority to Broad Street	confirm: to_stop=Broad Street; request: from_stop=?
request	i want to go to *STOP hello	"inform(to_stop=""*STREET"")"	i want to go to Times Square hello	from_stop=?
confirm	what is the next connection	"inform(alternative=""next"")"	what is the next connection	alternative=next
reply	uh what is the distance of that trip	request(distance)	uh what is the distance of that trip	distance=3.3 miles
apologize	starting from *STOP	"inform(from_stop=""*STOP"")"	starting from Prince Street	*=notfound, from_stop=Prince Street
request	i want to arrive in *STOP	"inform(to_stop=""*STOP"")"	i want to arrive in Fulton Street	from_stop=?
confirm	*STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")"	Port Authority Bus Terminal to Columbus Circle	from_stop=Port Authority Bus Terminal, to_stop=Columbus Circle
apologize	transit itinerary from *STOP	"inform(from_stop=""*STREET"")"	transit itinerary from Chambers Street	*=notfound, from_stop=Chambers Street
reply	i want to get from *STOP to *STOP	"inform(from_stop=""*STREET"")&inform(to_stop=""*STREET"")"	i want to get from Essex Street to Chambers Street	departure_time=10:11am, vehicle=bus, line=M1, direction=Chambers Street, from_stop=Essex Street
apologize	i want to go to *STOP from *STOP	"inform(to_stop=""*STREET"")&inform(from_stop=""*STREET"")"	i want to go to Fulton Street from Roosevelt Island	*=notfound, to_stop=Fulton Street, from_stop=Roosevelt Island
