type	abstr_utt	abstr_da	utt	da
reply	what about later options	"inform(alternative=""next"")"	what about later options	line=M35, direction=Houston Street, vehicle=bus, departure_time=1:11pm, from_stop=Inwood
apologize	what about later options	"inform(alternative=""next"")"	what about later options	*=notfound, alternative=next
confirm	what about later options	"inform(alternative=""next"")"	what about later options	alternative=next
reply	what about *NUMBER in the *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	what about nine in the morning	from_stop=World Trade Center, direction=Cathedral Parkway, vehicle=subway, departure_time=9:07am, line=3
apologize	what about *NUMBER in the *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	what about nine in the evening	*=notfound, departure_time=9:00, ampm=pm
request	what about *NUMBER in the *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	what about eleven in the morning	from_stop=?, to_stop=?
confirm-request	what about *NUMBER in the *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	what about nine in the morning	confirm: departure_time=9:00, ampm=am; request: from_stop=?, to_stop=?
confirm	what about *NUMBER in the *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	what about nine in the morning	departure_time=9:00, ampm=am
reply	what about the connection at *NUMBER o'clock in the *AMPM i prefer to take the *VEHICLE	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")"	what about the connection at seven o'clock in the morning i prefer to take the subway	direction=Cortlandt Street, vehicle=subway, departure_time=7:05am, line=6, from_stop=Washington Square
apologize	what about the connection at *NUMBER o'clock in the *AMPM i prefer to take the *VEHICLE	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")"	what about the connection at eleven o'clock in the morning i prefer to take the subway	*=notfound, departure_time=11:00, ampm=am, vehicle=subway
request	what about the connection at *NUMBER o'clock in the *AMPM i prefer to take the *VEHICLE	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")"	what about the connection at three o'clock in the afternoon i prefer to take the subway	from_stop=?, to_stop=?
confirm-request	what about the connection at *NUMBER o'clock in the *AMPM i prefer to take the *VEHICLE	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")"	what about the connection at two o'clock in the afternoon i prefer to take the subway	confirm: departure_time=2:00, ampm=pm, vehicle=subway; request: from_stop=?, to_stop=?
confirm	what about the connection at *NUMBER o'clock in the *AMPM i prefer to take the *VEHICLE	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")"	what about the connection at two o'clock in the afternoon i prefer to take the subway	departure_time=2:00, ampm=pm, vehicle=subway
reply	what about the next ride	"inform(alternative=""next"")"	what about the next ride	vehicle=subway, line=B, departure_time=6:08pm, direction=Bleecker Street, from_stop=Lincoln Center
apologize	what about the next ride	"inform(alternative=""next"")"	what about the next ride	*=notfound, alternative=next
confirm	what about the next ride	"inform(alternative=""next"")"	what about the next ride	alternative=next
reply	an alternative at *NUMBER *AMPM by *VEHICLE	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")"	an alternative at ten pm by subway	vehicle=subway, departure_time=10:14pm, from_stop=Columbus Circle, line=J, direction=Central Park
apologize	an alternative at *NUMBER *AMPM by *VEHICLE	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")"	an alternative at seven pm by bus	*=notfound, departure_time=7:00, ampm=pm, vehicle=bus
request	an alternative at *NUMBER *AMPM by *VEHICLE	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")"	an alternative at ten pm by bus	from_stop=?, to_stop=?
confirm-request	an alternative at *NUMBER *AMPM by *VEHICLE	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")"	an alternative at nine pm by subway	confirm: departure_time=9:00, ampm=pm, vehicle=subway; request: from_stop=?, to_stop=?
confirm	an alternative at *NUMBER *AMPM by *VEHICLE	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")"	an alternative at nine pm by subway	departure_time=9:00, ampm=pm, vehicle=subway
reply	i am departing from *STOP and want to get to *STOP	"inform(from_stop=""*STREET"")&inform(to_stop=""*STREET"")"	i am departing from Roosevelt Island and want to get to Bryant Park	direction=Bryant Park, from_stop=Roosevelt Island, departure_time=7:00am, vehicle=subway, line=Q
apologize	i am departing from *STOP and want to get to *STOP	"inform(from_stop=""*STREET"")&inform(to_stop=""*STREET"")"	i am departing from Bowling Green and want to get to City Hall	*=notfound, from_stop=Bowling Green, to_stop=City Hall
confirm	i am departing from *STOP and want to get to *STOP	"inform(from_stop=""*STREET"")&inform(to_stop=""*STREET"")"	i am departing from World Trade Center and want to get to Bowling Green	from_stop=World Trade Center, to_stop=Bowling Green
reply	i am going to *STOP	"inform(to_stop=""*STOP"")"	i am going to Bryant Park	vehicle=bus, direction=Bryant Park, line=M15, departure_time=1:19pm, from_stop=Canal Street
apologize	i am going to *STOP	"inform(to_stop=""*STOP"")"	i am going to Park Place	*=notfound, to_stop=Park Place
request	i am going to *STOP	"inform(to_stop=""*STOP"")"	i am going to Grand Central	from_stop=?
confirm-request	i am going to *STOP	"inform(to_stop=""*STOP"")"	i am going to Bleecker Street	confirm: to_stop=Bleecker Street; request: from_stop=?
confirm	i am going to *STOP	"inform(to_stop=""*STOP"")"	i am going to Bleecker Street	to_stop=Bleecker Street
reply	i am headed from *STOP to *STOP and i was wondering how long the ride would be	"inform(to_stop=""*STREET"")&inform(from_stop=""*STOP"")&request(distance)"	i am headed from Grand Central to Bowery and i was wondering how long the ride would be	distance=5.0 miles
confirm-reply	i am headed from *STOP to *STOP and i was wondering how long the ride would be	"inform(to_stop=""*STREET"")&inform(from_stop=""*STOP"")&request(distance)"	i am headed from Franklin Street to Chambers Street and i was wondering how long the ride would be	confirm: to_stop=Chambers Street, from_stop=Franklin Street; reply: distance=5.0 miles
confirm	i am headed from *STOP to *STOP and i was wondering how long the ride would be	"inform(to_stop=""*STREET"")&inform(from_stop=""*STOP"")&request(distance)"	i am headed from Franklin Street to Chambers Street and i was wondering how long the ride would be	to_stop=Chambers Street, from_stop=Franklin Street
reply	i am leaving from *STOP and heading towards *STOP	"inform(from_stop=""*STREET"")"	i am leaving from Inwood and heading towards *STOP	line=1, direction=Essex Street, from_stop=Inwood, departure_time=9:09am, vehicle=subway
apologize	i am leaving from *STOP and heading towards *STOP	"inform(from_stop=""*STREET"")"	i am leaving from East Broadway and heading towards *STOP	*=notfound, from_stop=East Broadway
request	i am leaving from *STOP and heading towards *STOP	"inform(from_stop=""*STREET"")"	i am leaving from Union Square and heading towards *STOP	to_stop=?
confirm-request	i am leaving from *STOP and heading towards *STOP	"inform(from_stop=""*STREET"")"	i am leaving from World Trade Center and heading towards *STOP	confirm: from_stop=World Trade Center; request: to_stop=?
confirm	i am leaving from *STOP and heading towards *STOP	"inform(from_stop=""*STREET"")"	i am leaving from World Trade Center and heading towards *STOP	from_stop=World Trade Center
reply	i am looking for a transit schedule from *STOP headed to *STOP	"inform(from_stop=""*STREET"")&inform(to_stop=""*STOP"")"	i am looking for a transit schedule from Bryant Park headed to Dyckman Street	vehicle=subway, departure_time=9:09am, from_stop=Bryant Park, direction=Dyckman Street, line=R
apologize	i am looking for a transit schedule from *STOP headed to *STOP	"inform(from_stop=""*STREET"")&inform(to_stop=""*STOP"")"	i am looking for a transit schedule from Grand Street headed to Bryant Park	*=notfound, from_stop=Grand Street, to_stop=Bryant Park
confirm	i am looking for a transit schedule from *STOP headed to *STOP	"inform(from_stop=""*STREET"")&inform(to_stop=""*STOP"")"	i am looking for a transit schedule from Central Park headed to Bryant Park	from_stop=Central Park, to_stop=Bryant Park
reply	i am starting from *STOP and heading towards *STOP	"inform(from_stop=""*STREET"")"	i am starting from Bowery and heading towards *STOP	departure_time=11:03am, from_stop=Bowery, line=1, vehicle=subway, direction=Cortlandt Street
apologize	i am starting from *STOP and heading towards *STOP	"inform(from_stop=""*STREET"")"	i am starting from Bleecker Street and heading towards *STOP	*=notfound, from_stop=Bleecker Street
request	i am starting from *STOP and heading towards *STOP	"inform(from_stop=""*STREET"")"	i am starting from Rockefeller Center and heading towards *STOP	to_stop=?
confirm-request	i am starting from *STOP and heading towards *STOP	"inform(from_stop=""*STREET"")"	i am starting from Cortlandt Street and heading towards *STOP	confirm: from_stop=Cortlandt Street; request: to_stop=?
confirm	i am starting from *STOP and heading towards *STOP	"inform(from_stop=""*STREET"")"	i am starting from Cortlandt Street and heading towards *STOP	from_stop=Cortlandt Street
reply	i am traveling from *STOP to *STOP	"inform(to_stop=""*STREET"")&inform(from_stop=""*STOP"")"	i am traveling from Union Square to Central Park	vehicle=bus, direction=Central Park, from_stop=Union Square, line=M31, departure_time=5:11pm
apologize	i am traveling from *STOP to *STOP	"inform(to_stop=""*STREET"")&inform(from_stop=""*STOP"")"	i am traveling from Rector Street to Port Authority Bus Terminal	*=notfound, to_stop=Port Authority Bus Terminal, from_stop=Rector Street
confirm	i am traveling from *STOP to *STOP	"inform(to_stop=""*STREET"")&inform(from_stop=""*STOP"")"	i am traveling from Union Square to Fulton Street	to_stop=Fulton Street, from_stop=Union Square
reply	i am traveling to *STOP	"inform(to_stop=""*STOP"")"	i am traveling to Rockefeller Center	vehicle=subway, direction=Rockefeller Center, line=D, from_stop=Marble Hill, departure_time=9:03pm
apologize	i am traveling to *STOP	"inform(to_stop=""*STOP"")"	i am traveling to Wall Street	*=notfound, to_stop=Wall Street
request	i am traveling to *STOP	"inform(to_stop=""*STOP"")"	i am traveling to Bowery	from_stop=?
confirm-request	i am traveling to *STOP	"inform(to_stop=""*STOP"")"	i am traveling to Fulton Street	confirm: to_stop=Fulton Street; request: from_stop=?
confirm	i am traveling to *STOP	"inform(to_stop=""*STOP"")"	i am traveling to Fulton Street	to_stop=Fulton Street
reply	i am traveling to *STOP	"inform(to_stop=""*STREET"")"	i am traveling to Franklin Street	direction=Franklin Street, from_stop=Broad Street, vehicle=subway, departure_time=10:18pm, line=J
apologize	i am traveling to *STOP	"inform(to_stop=""*STREET"")"	i am traveling to Broad Street	*=notfound, to_stop=Broad Street
request	i am traveling to *STOP	"inform(to_stop=""*STREET"")"	i am traveling to Prince Street	from_stop=?
confirm-request	i am traveling to *STOP	"inform(to_stop=""*STREET"")"	i am traveling to Franklin Street	confirm: to_stop=Franklin Street; request: from_stop=?
confirm	i am traveling to *STOP	"inform(to_stop=""*STREET"")"	i am traveling to Franklin Street	to_stop=Franklin Street
reply	i am travelling from *STOP and my destination is *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")"	i am travelling from Prince Street and my destination is Bowery	line=Q, departure_time=8:11pm, vehicle=subway, direction=Bowery, from_stop=Prince Street
apologize	i am travelling from *STOP and my destination is *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")"	i am travelling from Prince Street and my destination is Essex Street	*=notfound, from_stop=Prince Street, to_stop=Essex Street
confirm	i am travelling from *STOP and my destination is *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")"	i am travelling from Rector Street and my destination is Grand Central	from_stop=Rector Street, to_stop=Grand Central
reply	i am travelling from *STOP and	"inform(from_stop=""*STREET"")"	i am travelling from Penn Station and	vehicle=subway, line=R, departure_time=9:01pm, direction=Bowery, from_stop=Penn Station
apologize	i am travelling from *STOP and	"inform(from_stop=""*STREET"")"	i am travelling from Broad Street and	*=notfound, from_stop=Broad Street
request	i am travelling from *STOP and	"inform(from_stop=""*STREET"")"	i am travelling from Wall Street and	to_stop=?
confirm-request	i am travelling from *STOP and	"inform(from_stop=""*STREET"")"	i am travelling from Prince Street and	confirm: from_stop=Prince Street; request: to_stop=?
confirm	i am travelling from *STOP and	"inform(from_stop=""*STREET"")"	i am travelling from Prince Street and	from_stop=Prince Street
reply	i am travelling from *STOP and i want to get to *STOP	"inform(from_stop=""*STREET"")&inform(to_stop=""*STREET"")"	i am travelling from Broad Street and i want to get to Astor Place	from_stop=Broad Street, line=M101, vehicle=bus, direction=Astor Place, departure_time=7:06am
apologize	i am travelling from *STOP and i want to get to *STOP	"inform(from_stop=""*STREET"")&inform(to_stop=""*STREET"")"	i am travelling from Central Park and i want to get to Cathedral Parkway	*=notfound, from_stop=Central Park, to_stop=Cathedral Parkway
confirm	i am travelling from *STOP and i want to get to *STOP	"inform(from_stop=""*STREET"")&inform(to_stop=""*STREET"")"	i am travelling from Washington Square and i want to get to Rector Street	from_stop=Washington Square, to_stop=Rector Street
reply	*NUMBER *AMPM schedule by *VEHICLE	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")"	seven am schedule by subway	from_stop=Bowling Green, line=1, direction=Bowery, departure_time=7:08am, vehicle=subway
apologize	*NUMBER *AMPM schedule by *VEHICLE	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")"	nine pm schedule by bus	*=notfound, departure_time=9:00, ampm=pm, vehicle=bus
request	*NUMBER *AMPM schedule by *VEHICLE	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")"	ten am schedule by bus	from_stop=?, to_stop=?
confirm-request	*NUMBER *AMPM schedule by *VEHICLE	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")"	ten pm schedule by subway	confirm: departure_time=10:00, ampm=pm, vehicle=subway; request: from_stop=?, to_stop=?
confirm	*NUMBER *AMPM schedule by *VEHICLE	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")"	ten pm schedule by subway	departure_time=10:00, ampm=pm, vehicle=subway
reply	*NUMBER *AMPM schedule	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	seven pm schedule	departure_time=7:07pm, vehicle=bus, direction=East Broadway, from_stop=Rector Street, line=M72
apologize	*NUMBER *AMPM schedule	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	one pm schedule	*=notfound, departure_time=1:00, ampm=pm
request	*NUMBER *AMPM schedule	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	ten am schedule	from_stop=?, to_stop=?
confirm-request	*NUMBER *AMPM schedule	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	two pm schedule	confirm: departure_time=2:00, ampm=pm; request: from_stop=?, to_stop=?
confirm	*NUMBER *AMPM schedule	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	two pm schedule	departure_time=2:00, ampm=pm
reply	*NUMBER *AMPM take the *VEHICLE	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")"	nine am take the bus	departure_time=9:04am, direction=Port Authority Bus Terminal, vehicle=bus, from_stop=Marble Hill, line=M31
apologize	*NUMBER *AMPM take the *VEHICLE	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")"	seven am take the bus	*=notfound, departure_time=7:00, ampm=am, vehicle=bus
request	*NUMBER *AMPM take the *VEHICLE	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")"	eleven am take the bus	from_stop=?, to_stop=?
confirm-request	*NUMBER *AMPM take the *VEHICLE	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")"	two pm take the bus	confirm: departure_time=2:00, ampm=pm, vehicle=bus; request: from_stop=?, to_stop=?
confirm	*NUMBER *AMPM take the *VEHICLE	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")"	two pm take the bus	departure_time=2:00, ampm=pm, vehicle=bus
reply	yes and how long will it take to get there	request(duration)	yes and how long will it take to get there	duration=29 minutes
reply	i'm asking for public transport and i want to go from *STOP to *STOP	"inform(from_stop=""*STREET"")&inform(to_stop=""*STOP"")"	i'm asking for public transport and i want to go from Columbia University to Grand Central	direction=Grand Central, vehicle=bus, departure_time=5:15pm, from_stop=Columbia University, line=M22
apologize	i'm asking for public transport and i want to go from *STOP to *STOP	"inform(from_stop=""*STREET"")&inform(to_stop=""*STOP"")"	i'm asking for public transport and i want to go from Chambers Street to Union Square	*=notfound, from_stop=Chambers Street, to_stop=Union Square
confirm	i'm asking for public transport and i want to go from *STOP to *STOP	"inform(from_stop=""*STREET"")&inform(to_stop=""*STOP"")"	i'm asking for public transport and i want to go from Prince Street to Columbia University	from_stop=Prince Street, to_stop=Columbia University
reply	alternative at *NUMBER *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	alternative at eleven am	line=G, from_stop=Astor Place, departure_time=11:17am, vehicle=subway, direction=Franklin Street
apologize	alternative at *NUMBER *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	alternative at twelve pm	*=notfound, departure_time=12:00, ampm=pm
request	alternative at *NUMBER *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	alternative at six pm	from_stop=?, to_stop=?
confirm-request	alternative at *NUMBER *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	alternative at one pm	confirm: departure_time=1:00, ampm=pm; request: from_stop=?, to_stop=?
confirm	alternative at *NUMBER *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	alternative at one pm	departure_time=1:00, ampm=pm
reply	option at a later time	"inform(alternative=""next"")"	option at a later time	vehicle=bus, departure_time=5:04pm, from_stop=Rector Street, line=M23, direction=Delancey Street
apologize	option at a later time	"inform(alternative=""next"")"	option at a later time	*=notfound, alternative=next
confirm	option at a later time	"inform(alternative=""next"")"	option at a later time	alternative=next
reply	schedule at *NUMBER in the *AMPM	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	schedule at two in the afternoon	line=M106, direction=Union Square, departure_time=2:18pm, from_stop=Washington Square, vehicle=bus
apologize	schedule at *NUMBER in the *AMPM	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	schedule at nine in the morning	*=notfound, departure_time=9:00, ampm=am
request	schedule at *NUMBER in the *AMPM	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	schedule at three in the afternoon	from_stop=?, to_stop=?
confirm-request	schedule at *NUMBER in the *AMPM	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	schedule at eight in the morning	confirm: departure_time=8:00, ampm=am; request: from_stop=?, to_stop=?
confirm	schedule at *NUMBER in the *AMPM	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	schedule at eight in the morning	departure_time=8:00, ampm=am
reply	street at *NUMBER o'clock *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	street at nine o'clock pm	vehicle=subway, line=C, departure_time=9:00pm, direction=Bleecker Street, from_stop=Columbus Circle
apologize	street at *NUMBER o'clock *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	street at seven o'clock pm	*=notfound, departure_time=7:00, ampm=pm
request	street at *NUMBER o'clock *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	street at nine o'clock pm	from_stop=?, to_stop=?
confirm-request	street at *NUMBER o'clock *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	street at nine o'clock am	confirm: departure_time=9:00, ampm=am; request: from_stop=?, to_stop=?
confirm	street at *NUMBER o'clock *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	street at nine o'clock am	departure_time=9:00, ampm=am
reply	port authority to *STOP	"inform(to_stop=""*STREET"")"	port authority to Bleecker Street	line=3, vehicle=subway, direction=Bleecker Street, from_stop=Port Authority Bus Terminal, departure_time=7:08am
apologize	port authority to *STOP	"inform(to_stop=""*STREET"")"	port authority to Chambers Street	*=notfound, to_stop=Chambers Street
request	port authority to *STOP	"inform(to_stop=""*STREET"")"	port authority to Wall Street	from_stop=?
confirm-request	port authority to *STOP	"inform(to_stop=""*STREET"")"	port authority to Marble Hill	confirm: to_stop=Marble Hill; request: from_stop=?
confirm	port authority to *STOP	"inform(to_stop=""*STREET"")"	port authority to Marble Hill	to_stop=Marble Hill
reply	yes be at the *VEHICLE	"inform(vehicle=""*VEHICLE"")"	yes be at the subway	from_stop=Chambers Street, line=F, departure_time=4:15pm, vehicle=subway, direction=Broad Street
apologize	yes be at the *VEHICLE	"inform(vehicle=""*VEHICLE"")"	yes be at the bus	*=notfound, vehicle=bus
request	yes be at the *VEHICLE	"inform(vehicle=""*VEHICLE"")"	yes be at the subway	from_stop=?, to_stop=?
confirm-request	yes be at the *VEHICLE	"inform(vehicle=""*VEHICLE"")"	yes be at the subway	confirm: vehicle=subway; request: from_stop=?, to_stop=?
confirm	yes be at the *VEHICLE	"inform(vehicle=""*VEHICLE"")"	yes be at the subway	vehicle=subway
reply	how bout the next ride	"inform(alternative=""next"")"	how bout the next ride	vehicle=bus, departure_time=3:04pm, direction=Marble Hill, from_stop=Grand Central, line=M10
apologize	how bout the next ride	"inform(alternative=""next"")"	how bout the next ride	*=notfound, alternative=next
confirm	how bout the next ride	"inform(alternative=""next"")"	how bout the next ride	alternative=next
reply	connection by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	connection by bus	vehicle=bus, departure_time=5:18pm, from_stop=Houston Street, line=M100, direction=Inwood
apologize	connection by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	connection by bus	*=notfound, vehicle=bus
request	connection by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	connection by bus	from_stop=?, to_stop=?
confirm-request	connection by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	connection by subway	confirm: vehicle=subway; request: from_stop=?, to_stop=?
confirm	connection by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	connection by subway	vehicle=subway
reply	travel by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	travel by subway	departure_time=10:08am, from_stop=Washington Square, direction=Cortlandt Street, vehicle=subway, line=2
apologize	travel by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	travel by subway	*=notfound, vehicle=subway
request	travel by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	travel by bus	from_stop=?, to_stop=?
confirm-request	travel by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	travel by bus	confirm: vehicle=bus; request: from_stop=?, to_stop=?
confirm	travel by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	travel by bus	vehicle=bus
reply	ok can i go to *STOP	"inform(to_stop=""*STOP"")"	ok can i go to Washington Square	vehicle=subway, direction=Washington Square, departure_time=7:19am, from_stop=Columbus Circle, line=C
apologize	ok can i go to *STOP	"inform(to_stop=""*STOP"")"	ok can i go to Astor Place	*=notfound, to_stop=Astor Place
request	ok can i go to *STOP	"inform(to_stop=""*STOP"")"	ok can i go to Central Park	from_stop=?
confirm-request	ok can i go to *STOP	"inform(to_stop=""*STOP"")"	ok can i go to Cortlandt Street	confirm: to_stop=Cortlandt Street; request: from_stop=?
confirm	ok can i go to *STOP	"inform(to_stop=""*STOP"")"	ok can i go to Cortlandt Street	to_stop=Cortlandt Street
reply	okay can i get another ride	"inform(alternative=""next"")"	okay can i get another ride	line=M7, from_stop=Rockefeller Center, vehicle=bus, direction=Chambers Street, departure_time=11:00am
apologize	okay can i get another ride	"inform(alternative=""next"")"	okay can i get another ride	*=notfound, alternative=next
confirm	okay can i get another ride	"inform(alternative=""next"")"	okay can i get another ride	alternative=next
reply	i'm changing go to *STOP	"inform(to_stop=""*STOP"")"	i'm changing go to Bleecker Street	departure_time=10:05am, line=5, direction=Bleecker Street, from_stop=Dyckman Street, vehicle=subway
apologize	i'm changing go to *STOP	"inform(to_stop=""*STOP"")"	i'm changing go to Essex Street	*=notfound, to_stop=Essex Street
request	i'm changing go to *STOP	"inform(to_stop=""*STOP"")"	i'm changing go to Rector Street	from_stop=?
confirm-request	i'm changing go to *STOP	"inform(to_stop=""*STOP"")"	i'm changing go to Bowling Green	confirm: to_stop=Bowling Green; request: from_stop=?
confirm	i'm changing go to *STOP	"inform(to_stop=""*STOP"")"	i'm changing go to Bowling Green	to_stop=Bowling Green
