type	abstr_utt	abstr_da	utt	da
confirm-request	what connection will i be in *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	what connection will i be in half an hour	confirm: departure_time_rel=0:30; request: from_stop=?, to_stop=?
confirm	what connection will i be in *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	what connection will i be in half an hour	departure_time_rel=0:30
reply	yes connection in *NUMBER minutes	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	yes connection in one minutes	from_stop=Cathedral Parkway, departure_time=1:05pm, vehicle=bus, line=M98, direction=Grand Central
apologize	yes connection in *NUMBER minutes	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	yes connection in one minutes	*=notfound, departure_time_rel=1:00
request	yes connection in *NUMBER minutes	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	yes connection in four minutes	from_stop=?, to_stop=?
confirm-request	yes connection in *NUMBER minutes	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	yes connection in zero minutes	confirm: departure_time_rel=0:00; request: from_stop=?, to_stop=?
confirm	yes connection in *NUMBER minutes	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	yes connection in zero minutes	departure_time_rel=0:00
reply	duration distance of trip	request(distance)	duration distance of trip	distance=8.6 miles
reply	the distance of the trip	request(distance)	the distance of the trip	distance=7.3 miles
reply	how far is it	request(distance)	how far is it	distance=6.6 miles
reply	how far is that	request(distance)	how far is that	distance=10.6 miles
reply	how far is the trip	request(distance)	how far is the trip	distance=1.5 miles
reply	how far what is the distance of this trip	request(distance)	how far what is the distance of this trip	distance=10.9 miles
reply	how far will i be travelling	request(distance)	how far will i be travelling	distance=9.7 miles
reply	looking for *VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	looking for bus connection	from_stop=Columbia University, direction=Broad Street, departure_time=6:08pm, line=M96, vehicle=bus
apologize	looking for *VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	looking for subway connection	*=notfound, vehicle=subway
request	looking for *VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	looking for bus connection	from_stop=?, to_stop=?
confirm-request	looking for *VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	looking for bus connection	confirm: vehicle=bus; request: from_stop=?, to_stop=?
confirm	looking for *VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	looking for bus connection	vehicle=bus
reply	connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")"	connection from Washington Square to Inwood	vehicle=subway, line=F, direction=Inwood, from_stop=Washington Square, departure_time=11:18am
apologize	connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")"	connection from Delancey Street to Franklin Street	*=notfound, from_stop=Delancey Street, to_stop=Franklin Street
confirm	connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")"	connection from Cortlandt Street to Washington Square	from_stop=Cortlandt Street, to_stop=Washington Square
reply	i'm headed to *STOP	"inform(to_stop=""*STREET"")"	i'm headed to Wall Street	departure_time=7:12am, line=M31, vehicle=bus, from_stop=Park Place, direction=Wall Street
apologize	i'm headed to *STOP	"inform(to_stop=""*STREET"")"	i'm headed to Marble Hill	*=notfound, to_stop=Marble Hill
request	i'm headed to *STOP	"inform(to_stop=""*STREET"")"	i'm headed to Port Authority Bus Terminal	from_stop=?
confirm-request	i'm headed to *STOP	"inform(to_stop=""*STREET"")"	i'm headed to Washington Square	confirm: to_stop=Washington Square; request: from_stop=?
confirm	i'm headed to *STOP	"inform(to_stop=""*STREET"")"	i'm headed to Washington Square	to_stop=Washington Square
reply	about how long does it take	request(duration)	about how long does it take	duration=57 minutes
reply	and how many transfers is there	request(num_transfers)	and how many transfers is there	num_transfers=2
reply	and how many transfers	request(num_transfers)	and how many transfers	num_transfers=1
reply	and how many transfers would that be	request(num_transfers)	and how many transfers would that be	num_transfers=0
reply	ok how long will that take and when is the next connection	"request(departure_time=""*DEPARTURE_TIME"")&request(duration)&inform(alternative=""next"")"	ok how long will that take and when is the next connection	duration=27 minutes
confirm-reply	ok how long will that take and when is the next connection	"request(departure_time=""*DEPARTURE_TIME"")&request(duration)&inform(alternative=""next"")"	ok how long will that take and when is the next connection	confirm: departure_time=*DEPARTURE_TIME, alternative=next; reply: duration=27 minutes
confirm	ok how long will that take and when is the next connection	"request(departure_time=""*DEPARTURE_TIME"")&request(duration)&inform(alternative=""next"")"	ok how long will that take and when is the next connection	departure_time=*DEPARTURE_TIME, alternative=next
reply	and i want to know about the duration of the trip the distance of the trip and	request(duration)&request(distance)	and i want to know about the duration of the trip the distance of the trip and	distance=6.2 miles, duration=50 minutes
reply	and i would like to know the duration of the trip and find out the connections at *NUMBER *NUMBER pm	"inform(time=""*TIME"")&request(duration)"	and i would like to know the duration of the trip and find out the connections at one one pm	duration=38 minutes
reply	but i wanna go by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	but i wanna go by subway	line=G, departure_time=8:12am, vehicle=subway, from_stop=Port Authority Bus Terminal, direction=Bleecker Street
apologize	but i wanna go by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	but i wanna go by bus	*=notfound, vehicle=bus
request	but i wanna go by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	but i wanna go by subway	from_stop=?, to_stop=?
confirm-request	but i wanna go by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	but i wanna go by bus	confirm: vehicle=bus; request: from_stop=?, to_stop=?
confirm	but i wanna go by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	but i wanna go by bus	vehicle=bus
reply	but i want to go by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	but i want to go by subway	direction=Essex Street, line=3, departure_time=8:17am, from_stop=Canal Street, vehicle=subway
apologize	but i want to go by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	but i want to go by subway	*=notfound, vehicle=subway
request	but i want to go by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	but i want to go by bus	from_stop=?, to_stop=?
confirm-request	but i want to go by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	but i want to go by bus	confirm: vehicle=bus; request: from_stop=?, to_stop=?
confirm	but i want to go by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	but i want to go by bus	vehicle=bus
reply	but i want to go to by by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	but i want to go to by by subway	line=2, direction=Inwood, departure_time=3:14pm, from_stop=Houston Street, vehicle=subway
apologize	but i want to go to by by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	but i want to go to by by subway	*=notfound, vehicle=subway
request	but i want to go to by by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	but i want to go to by by subway	from_stop=?, to_stop=?
confirm-request	but i want to go to by by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	but i want to go to by by bus	confirm: vehicle=bus; request: from_stop=?, to_stop=?
confirm	but i want to go to by by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	but i want to go to by by bus	vehicle=bus
reply	can i go by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	can i go by subway	vehicle=subway, line=3, from_stop=Columbus Circle, departure_time=10:06pm, direction=Franklin Street
apologize	can i go by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	can i go by bus	*=notfound, vehicle=bus
request	can i go by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	can i go by bus	from_stop=?, to_stop=?
confirm-request	can i go by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	can i go by subway	confirm: vehicle=subway; request: from_stop=?, to_stop=?
confirm	can i go by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	can i go by subway	vehicle=subway
reply	could i get the duration	request(duration)	could i get the duration	duration=61 minutes
reply	so i want to find a connection from *STOP	"inform(from_stop=""*STREET"")"	so i want to find a connection from World Trade Center	from_stop=World Trade Center, direction=East Broadway, departure_time=11:01am, line=M, vehicle=subway
apologize	so i want to find a connection from *STOP	"inform(from_stop=""*STREET"")"	so i want to find a connection from Park Place	*=notfound, from_stop=Park Place
request	so i want to find a connection from *STOP	"inform(from_stop=""*STREET"")"	so i want to find a connection from Essex Street	to_stop=?
confirm-request	so i want to find a connection from *STOP	"inform(from_stop=""*STREET"")"	so i want to find a connection from Columbus Circle	confirm: from_stop=Columbus Circle; request: to_stop=?
confirm	so i want to find a connection from *STOP	"inform(from_stop=""*STREET"")"	so i want to find a connection from Columbus Circle	from_stop=Columbus Circle
reply	yes i need a connection a *VEHICLE connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")"	yes i need a connection a subway connection from Essex Street to Houston Street	vehicle=subway, from_stop=Essex Street, departure_time=10:01am, direction=Houston Street, line=5
apologize	yes i need a connection a *VEHICLE connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")"	yes i need a connection a subway connection from Columbia University to Grand Street	*=notfound, from_stop=Columbia University, to_stop=Grand Street, vehicle=subway
confirm	yes i need a connection a *VEHICLE connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")"	yes i need a connection a bus connection from Wall Street to Columbus Circle	from_stop=Wall Street, to_stop=Columbus Circle, vehicle=bus
reply	yes i would like to know when i could catch the next transportation from *STOP	"inform(from_stop=""*STOP"")&inform(alternative=""next"")"	yes i would like to know when i could catch the next transportation from Herald Square	line=M34, from_stop=Herald Square, direction=Prince Street, departure_time=10:15am, vehicle=bus
apologize	yes i would like to know when i could catch the next transportation from *STOP	"inform(from_stop=""*STOP"")&inform(alternative=""next"")"	yes i would like to know when i could catch the next transportation from Canal Street	*=notfound, from_stop=Canal Street, alternative=next
confirm	yes i would like to know when i could catch the next transportation from *STOP	"inform(from_stop=""*STOP"")&inform(alternative=""next"")"	yes i would like to know when i could catch the next transportation from Marble Hill	from_stop=Marble Hill, alternative=next
reply	what if i leave at *NUMBER pm	"inform(time=""*TIME"")"	what if i leave at zero pm	line=M103, vehicle=bus, direction=Rockefeller Center, departure_time=0:10pm, from_stop=Broad Street
reply	connection in *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	connection in half an hour	from_stop=Grand Street, line=J, departure_time=8:03am, vehicle=subway, direction=Penn Station
apologize	connection in *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	connection in half an hour	*=notfound, departure_time_rel=0:30
request	connection in *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	connection in half an hour	from_stop=?, to_stop=?
confirm-request	connection in *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	connection in half an hour	confirm: departure_time_rel=0:30; request: from_stop=?, to_stop=?
confirm	connection in *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	connection in half an hour	departure_time_rel=0:30
reply	connection in *NUMBER minutes	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	connection in one minutes	line=E, departure_time=9:18pm, direction=Bleecker Street, from_stop=Franklin Street, vehicle=subway
apologize	connection in *NUMBER minutes	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	connection in four minutes	*=notfound, departure_time_rel=4:00
request	connection in *NUMBER minutes	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	connection in four minutes	from_stop=?, to_stop=?
confirm-request	connection in *NUMBER minutes	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	connection in three minutes	confirm: departure_time_rel=3:00; request: from_stop=?, to_stop=?
confirm	connection in *NUMBER minutes	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	connection in three minutes	departure_time_rel=3:00
reply	depart in *NUMBER minutes	"inform(time_rel=""*TIME_REL"")"	depart in one minutes	from_stop=Astor Place, departure_time=3:03pm, direction=Rector Street, vehicle=subway, line=N
reply	what is duration	request(duration)	what is duration	duration=49 minutes
reply	what is the connection in *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	what is the connection in half an hour	vehicle=subway, departure_time=6:15pm, from_stop=Wall Street, direction=Rector Street, line=R
apologize	what is the connection in *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	what is the connection in half an hour	*=notfound, departure_time_rel=0:30
request	what is the connection in *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	what is the connection in half an hour	from_stop=?, to_stop=?
confirm-request	what is the connection in *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	what is the connection in half an hour	confirm: departure_time_rel=0:30; request: from_stop=?, to_stop=?
confirm	what is the connection in *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	what is the connection in half an hour	departure_time_rel=0:30
reply	what is the distance of the trip	request(distance)	what is the distance of the trip	distance=1.9 miles
reply	what is the distance of this trip	request(distance)	what is the distance of this trip	distance=9.1 miles
reply	what is the distance	request(distance)	what is the distance	distance=8.6 miles
reply	what is the duration of that	request(duration)	what is the duration of that	duration=23 minutes
reply	what is the duration of the distance of the trip	request(duration)&request(distance)	what is the duration of the distance of the trip	distance=7.9 miles, duration=74 minutes
reply	what is the duration of the trip	request(duration)	what is the duration of the trip	duration=38 minutes
reply	what is the duration of this trip	request(duration)	what is the duration of this trip	duration=47 minutes
reply	what is the duration	request(duration)	what is the duration	duration=44 minutes
reply	what is the how long is that trip	request(duration)&request(distance)	what is the how long is that trip	distance=11.3 miles, duration=74 minutes
reply	what is the next connection from *STOP	"inform(from_stop=""*STOP"")&inform(alternative=""next"")"	what is the next connection from Canal Street	vehicle=bus, from_stop=Canal Street, line=M11, departure_time=10:01pm, direction=Inwood
apologize	what is the next connection from *STOP	"inform(from_stop=""*STOP"")&inform(alternative=""next"")"	what is the next connection from Fulton Street	*=notfound, from_stop=Fulton Street, alternative=next
confirm	what is the next connection from *STOP	"inform(from_stop=""*STOP"")&inform(alternative=""next"")"	what is the next connection from Bowling Green	from_stop=Bowling Green, alternative=next
reply	what is the next connection	"inform(alternative=""next"")"	what is the next connection	line=D, from_stop=Cortlandt Street, departure_time=9:03am, vehicle=subway, direction=Astor Place
apologize	what is the next connection	"inform(alternative=""next"")"	what is the next connection	*=notfound, alternative=next
confirm	what is the next connection	"inform(alternative=""next"")"	what is the next connection	alternative=next
reply	what is the number of transfers	request(num_transfers)	what is the number of transfers	num_transfers=2
reply	where is the next connection	"inform(alternative=""next"")"	where is the next connection	vehicle=bus, line=M31, departure_time=11:00am, direction=City Hall, from_stop=Inwood
apologize	where is the next connection	"inform(alternative=""next"")"	where is the next connection	*=notfound, alternative=next
confirm	where is the next connection	"inform(alternative=""next"")"	where is the next connection	alternative=next
reply	id like to find a *VEHICLE connection please	"inform(vehicle=""*VEHICLE"")"	id like to find a subway connection please	line=Q, vehicle=subway, from_stop=Bryant Park, direction=Herald Square, departure_time=11:00am
apologize	id like to find a *VEHICLE connection please	"inform(vehicle=""*VEHICLE"")"	id like to find a subway connection please	*=notfound, vehicle=subway
request	id like to find a *VEHICLE connection please	"inform(vehicle=""*VEHICLE"")"	id like to find a subway connection please	from_stop=?, to_stop=?
confirm-request	id like to find a *VEHICLE connection please	"inform(vehicle=""*VEHICLE"")"	id like to find a subway connection please	confirm: vehicle=subway; request: from_stop=?, to_stop=?
confirm	id like to find a *VEHICLE connection please	"inform(vehicle=""*VEHICLE"")"	id like to find a subway connection please	vehicle=subway
reply	i'd like it from *STOP to the	"inform(from_stop=""*STOP"")"	i'd like it from Bryant Park to the	vehicle=subway, direction=Essex Street, line=G, departure_time=6:09pm, from_stop=Bryant Park
apologize	i'd like it from *STOP to the	"inform(from_stop=""*STOP"")"	i'd like it from Prince Street to the	*=notfound, from_stop=Prince Street
request	i'd like it from *STOP to the	"inform(from_stop=""*STOP"")"	i'd like it from Essex Street to the	to_stop=?
confirm-request	i'd like it from *STOP to the	"inform(from_stop=""*STOP"")"	i'd like it from Bleecker Street to the	confirm: from_stop=Bleecker Street; request: to_stop=?
confirm	i'd like it from *STOP to the	"inform(from_stop=""*STOP"")"	i'd like it from Bleecker Street to the	from_stop=Bleecker Street
reply	i'd like to find out connection at *NUMBER pm	"inform(departure_time=""*DEPARTURE_TIME"")"	i'd like to find out connection at one pm	from_stop=Houston Street, direction=Canal Street, line=R, departure_time=1:06pm, vehicle=subway
apologize	i'd like to find out connection at *NUMBER pm	"inform(departure_time=""*DEPARTURE_TIME"")"	i'd like to find out connection at zero pm	*=notfound, departure_time=0:00
request	i'd like to find out connection at *NUMBER pm	"inform(departure_time=""*DEPARTURE_TIME"")"	i'd like to find out connection at nine pm	from_stop=?, to_stop=?
confirm-request	i'd like to find out connection at *NUMBER pm	"inform(departure_time=""*DEPARTURE_TIME"")"	i'd like to find out connection at four pm	confirm: departure_time=4:00; request: from_stop=?, to_stop=?
confirm	i'd like to find out connection at *NUMBER pm	"inform(departure_time=""*DEPARTURE_TIME"")"	i'd like to find out connection at four pm	departure_time=4:00
reply	i'd like to go from *STOP to the	"inform(from_stop=""*STOP"")"	i'd like to go from City Hall to the	direction=Bowery, vehicle=bus, from_stop=City Hall, departure_time=8:14am, line=M8
apologize	i'd like to go from *STOP to the	"inform(from_stop=""*STOP"")"	i'd like to go from Washington Square to the	*=notfound, from_stop=Washington Square
request	i'd like to go from *STOP to the	"inform(from_stop=""*STOP"")"	i'd like to go from Inwood to the	to_stop=?
confirm-request	i'd like to go from *STOP to the	"inform(from_stop=""*STOP"")"	i'd like to go from Port Authority Bus Terminal to the	confirm: from_stop=Port Authority Bus Terminal; request: to_stop=?
confirm	i'd like to go from *STOP to the	"inform(from_stop=""*STOP"")"	i'd like to go from Port Authority Bus Terminal to the	from_stop=Port Authority Bus Terminal
reply	*VEHICLE line	"inform(vehicle=""*VEHICLE"")"	bus line	direction=Union Square, departure_time=4:19pm, vehicle=bus, from_stop=Park Place, line=M15
apologize	*VEHICLE line	"inform(vehicle=""*VEHICLE"")"	bus line	*=notfound, vehicle=bus
request	*VEHICLE line	"inform(vehicle=""*VEHICLE"")"	bus line	from_stop=?, to_stop=?
confirm-request	*VEHICLE line	"inform(vehicle=""*VEHICLE"")"	bus line	confirm: vehicle=bus; request: from_stop=?, to_stop=?
confirm	*VEHICLE line	"inform(vehicle=""*VEHICLE"")"	bus line	vehicle=bus
reply	how long does it take how much	request(duration)	how long does it take how much	duration=79 minutes
reply	how long does it take	request(duration)	how long does it take	duration=51 minutes
reply	how long does it take to ride	request(duration)	how long does it take to ride	duration=55 minutes
reply	how long for travel	request(duration)	how long for travel	duration=58 minutes
reply	how long is it going to take	request(duration)	how long is it going to take	duration=72 minutes
reply	how long is it how many transfers and what is the distance of	request(num_transfers)&request(distance)	how long is it how many transfers and what is the distance of	distance=7.0 miles, num_transfers=0
reply	how long is it	request(distance)	how long is it	distance=9.9 miles
reply	how long is that trip	request(duration)&request(distance)	how long is that trip	distance=9.9 miles, duration=69 minutes
reply	how long is the duration of this trip	request(duration)	how long is the duration of this trip	duration=59 minutes
reply	how long is the duration	request(duration)	how long is the duration	duration=71 minutes
reply	how long is the ride	request(distance)	how long is the ride	distance=7.1 miles
reply	how long is the trip	request(duration)&request(distance)	how long is the trip	distance=1.2 miles, duration=68 minutes
reply	how long will i be traveling	request(distance)	how long will i be traveling	distance=6.5 miles
reply	how long will it take	request(duration)	how long will it take	duration=14 minutes
reply	how long will it take to go from *STOP to *STOP by *VEHICLE	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")&request(duration)"	how long will it take to go from Rector Street to Bryant Park by bus	duration=19 minutes
confirm-reply	how long will it take to go from *STOP to *STOP by *VEHICLE	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")&request(duration)"	how long will it take to go from City Hall to Central Park by subway	confirm: from_stop=City Hall, to_stop=Central Park, vehicle=subway; reply: duration=19 minutes
confirm	how long will it take to go from *STOP to *STOP by *VEHICLE	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")&request(duration)"	how long will it take to go from City Hall to Central Park by subway	from_stop=City Hall, to_stop=Central Park, vehicle=subway
reply	how long will that take	request(duration)	how long will that take	duration=62 minutes
reply	how long will the trip take	request(duration)	how long will the trip take	duration=71 minutes
reply	how long would it take	request(duration)	how long would it take	duration=68 minutes
reply	how many transfers and distance of this trip	request(num_transfers)&request(distance)	how many transfers and distance of this trip	distance=7.9 miles, num_transfers=1
reply	how many transfers and the distance of this trip	request(num_transfers)&request(distance)	how many transfers and the distance of this trip	distance=9.2 miles, num_transfers=2
reply	how many transfers and what is the distance of the trip	request(num_transfers)&request(distance)	how many transfers and what is the distance of the trip	distance=4.1 miles, num_transfers=0
reply	how many transfers are there	request(num_transfers)	how many transfers are there	num_transfers=1
