Testing connection to the update server..
i would like to get from the manhattan to the central park	i would like to get from the *BOROUGH to the *STOP	inform(to_stop="Central Park")&inform(from_borough="Manhattan")&inform(task="find_connection")	inform(to_stop="*STOP")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
times square forty second street	*STOP	inform(stop="Times Sq - 42 St")	inform(stop="*STOP")
what time is it	what time is it	request(current_time)	request(current_time="*CURRENT_TIME")
thank you goodbye	thank you goodbye	bye()&thankyou()	bye()&thankyou()
i need a bus connection	i need a *VEHICLE connection	inform(vehicle="bus")&inform(task="find_connection")	inform(vehicle="*VEHICLE")&inform(task="find_connection")
new york	*CITY	inform(city="New York")	inform(city="*CITY")
new york	*CITY	inform(city="New York")	inform(city="*CITY")
new york	*CITY	inform(city="New York")	inform(city="*CITY")
start over	start over	restart()	restart()
nine a m	*NUMBER *AMPM	inform(time="9:00")&inform(ampm="am")	inform(time="*TIME")&inform(ampm="*AMPM")
new york	*CITY	inform(city="New York")	inform(city="*CITY")
new york	*CITY	inform(city="New York")	inform(city="*CITY")
thank you goodbye	thank you goodbye	bye()&thankyou()	bye()&thankyou()
yes i want to find a bus connection from central park to the empire state building	yes i want to find a *VEHICLE connection from *STOP to the *STOP	inform(from_stop="Central Park")&inform(to_stop="Empire State Building")&inform(vehicle="bus")&inform(task="find_connection")&affirm()	inform(from_stop="*STOP")&inform(to_stop="*STOP")&inform(vehicle="*VEHICLE")&inform(task="find_connection")&affirm()
i also want to know about time requirements	i also want to know about time requirements	request(duration)	request(duration)
no	no	negate()	negate()
thank you goodbye	thank you goodbye	bye()&thankyou()	bye()&thankyou()
bus connection from sixty eighth street hunter college to times square forty second street	*VEHICLE connection from *STOP to *STOP	inform(from_stop="68 St - Hunter College")&inform(to_stop="Times Sq - 42 St")&inform(vehicle="bus")&inform(task="find_connection")	inform(from_stop="*STOP")&inform(to_stop="*STOP")&inform(vehicle="*VEHICLE")&inform(task="find_connection")
the eighth street	the *STREET	inform(street="8 St")	inform(street="*STREET")
hunter college	*CITY college	inform(city="Hunter")	inform(city="*CITY")
_noise_	_noise_	null()	null()
forty two street	*NUMBER street	null()	null()
new york	*CITY	inform(city="New York")	inform(city="*CITY")
times square	*STREET	inform(street="Times Sq")	inform(street="*STREET")
queens	*BOROUGH	inform(borough="Queens")	inform(borough="*BOROUGH")
yes queens	yes *BOROUGH	inform(borough="Queens")&affirm()	inform(borough="*BOROUGH")&affirm()
lancaster	*CITY	inform(city="Lancaster")	inform(city="*CITY")
lancaster	*CITY	inform(city="Lancaster")	inform(city="*CITY")
eight	*NUMBER	null()	null()
i would like to go from times square	i would like to go from *STREET	inform(from_street="Times Sq")&inform(task="find_connection")	inform(from_street="*STREET")&inform(task="find_connection")
forty two street	*NUMBER street	null()	null()
i don't know	i don't know	null()	null()
forty two street	*NUMBER street	null()	null()
forty two street	*NUMBER street	null()	null()
forty two street	*NUMBER street	null()	null()
times square to forty two street	*STREET to *NUMBER street	inform(from_street="Times Sq")	inform(from_street="*STREET")
forty two street	*NUMBER street	null()	null()
manhattan	*BOROUGH	inform(borough="Manhattan")	inform(borough="*BOROUGH")
forty two street	*NUMBER street	null()	null()
i need a bus connection	i need a *VEHICLE connection	inform(vehicle="bus")&inform(task="find_connection")	inform(vehicle="*VEHICLE")&inform(task="find_connection")
new york	*CITY	inform(city="New York")	inform(city="*CITY")
lancaster	*CITY	inform(city="Lancaster")	inform(city="*CITY")
lancaster	*CITY	inform(city="Lancaster")	inform(city="*CITY")
lancaster	*CITY	inform(city="Lancaster")	inform(city="*CITY")
new york	*CITY	inform(city="New York")	inform(city="*CITY")
bus connection	*VEHICLE connection	inform(vehicle="bus")&inform(task="find_connection")	inform(vehicle="*VEHICLE")&inform(task="find_connection")
		silence()	silence()
hi i'm looking for a connection	hi i'm looking for a connection	inform(task="find_connection")&hello()	inform(task="find_connection")&hello()
central park to empire state building	*STOP to *STOP	inform(from_stop="Central Park")&inform(to_stop="Empire State Building")	inform(from_stop="*STOP")&inform(to_stop="*STOP")
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
hi i'm looking for a connection	hi i'm looking for a connection	inform(task="find_connection")&hello()	inform(task="find_connection")&hello()
central park	*STOP	inform(stop="Central Park")	inform(stop="*STOP")
empire state building	*STOP	inform(stop="Empire State Building")	inform(stop="*STOP")
how long does it take	how long does it take	request(duration)	request(duration)
how many transfers are there	how many transfers are there	request(num_transfers)	request(num_transfers)
i want to go by bus	i want to go by *VEHICLE	inform(vehicle="bus")&inform(task="find_connection")	inform(vehicle="*VEHICLE")&inform(task="find_connection")
how long does it take	how long does it take	request(duration)	request(duration)
when does it leave	when does it leave	request(departure_time)	request(departure_time="*DEPARTURE_TIME")
what time is it now	what time is it *TIME	inform(time_rel="now")&request(current_time)	inform(time_rel="*TIME_REL")&request(current_time="*CURRENT_TIME")
what is the weather like in meadows of dan	what is the weather like in *CITY	inform(in_city="Meadows Of Dan")&inform(task="weather")	inform(in_city="*CITY")&inform(task="weather")
okay can you repeat that	okay can you repeat that	repeat()&ack()	repeat()&ack()
thank you goodbye	thank you goodbye	bye()&thankyou()	bye()&thankyou()
		silence()	silence()
is there time requirement	is there time requirement	request(duration)	request(duration)
		silence()	silence()
central park to empire state building	*STOP to *STOP	inform(from_stop="Central Park")&inform(to_stop="Empire State Building")	inform(from_stop="*STOP")&inform(to_stop="*STOP")
		silence()	silence()
		silence()	silence()
thank you	thank you	thankyou()	thankyou()
good bye	good bye	bye()	bye()
		silence()	silence()
		silence()	silence()
		silence()	silence()
weather forecast	weather forecast	inform(task="weather")	inform(task="weather")
		silence()	silence()
		silence()	silence()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
		silence()	silence()
		silence()	silence()
central park	*STOP	inform(stop="Central Park")	inform(stop="*STOP")
		silence()	silence()
		silence()	silence()
how long will it take	how long will it take	request(duration)	request(duration)
		silence()	silence()
next connection	next connection	inform(task="find_connection")&inform(alternative="next")	inform(task="find_connection")&inform(alternative="next")
		silence()	silence()
		silence()	silence()
yes i need a bus connection from central park to the empire state building	yes i need a *VEHICLE connection from *STOP to the *STOP	inform(from_stop="Central Park")&inform(to_stop="Empire State Building")&inform(vehicle="bus")&inform(task="find_connection")&affirm()	inform(from_stop="*STOP")&inform(to_stop="*STOP")&inform(vehicle="*VEHICLE")&inform(task="find_connection")&affirm()
i'd like to go from central park to the	i'd like to go from *STOP to the	inform(from_stop="Central Park")&inform(task="find_connection")	inform(from_stop="*STOP")&inform(task="find_connection")
empire state building	*STOP	inform(stop="Empire State Building")	inform(stop="*STOP")
		silence()	silence()
		silence()	silence()
that'll be it	that'll be it	null()	null()
		silence()	silence()
		silence()	silence()
		silence()	silence()
_noise_	_noise_	null()	null()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
_noise_	_noise_	null()	null()
next connection	next connection	inform(task="find_connection")&inform(alternative="next")	inform(task="find_connection")&inform(alternative="next")
the weather forecast and time	the weather forecast and time	inform(task="weather")	inform(task="weather")
thank you	thank you	thankyou()	thankyou()
		silence()	silence()
		silence()	silence()
_noise_	_noise_	null()	null()
		silence()	silence()
		silence()	silence()
		silence()	silence()
last connection	last connection	inform(task="find_connection")&inform(alternative="last")	inform(task="find_connection")&inform(alternative="last")
		silence()	silence()
_noise_	_noise_	null()	null()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
thank you	thank you	thankyou()	thankyou()
nothing else	nothing else	null()	null()
		silence()	silence()
yes	yes	affirm()	affirm()
		silence()	silence()
		silence()	silence()
		silence()	silence()
yes	yes	affirm()	affirm()
		silence()	silence()
i'm still here	i'm still here	null()	null()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
central park	*STOP	inform(stop="Central Park")	inform(stop="*STOP")
empire state building	*STOP	inform(stop="Empire State Building")	inform(stop="*STOP")
how long does it take	how long does it take	request(duration)	request(duration)
next connection	next connection	inform(task="find_connection")&inform(alternative="next")	inform(task="find_connection")&inform(alternative="next")
what is the next connection	what is the next connection	inform(task="find_connection")&inform(alternative="next")	inform(task="find_connection")&inform(alternative="next")
		silence()	silence()
weather forecast and time for	weather forecast and time for	inform(task="weather")	inform(task="weather")
franklin pennsylvania	*CITY *STATE	inform(city="Franklin")&inform(state="Pennsylvania")	inform(city="*CITY")&inform(state="*STATE")
weather forecast	weather forecast	inform(task="weather")	inform(task="weather")
		silence()	silence()
franklin pennsylvania	*CITY *STATE	inform(city="Franklin")&inform(state="Pennsylvania")	inform(city="*CITY")&inform(state="*STATE")
franklin	*CITY	inform(city="Franklin")	inform(city="*CITY")
		silence()	silence()
franklin	*CITY	inform(city="Franklin")	inform(city="*CITY")
		silence()	silence()
		silence()	silence()
		silence()	silence()
what is the weather like in baltimore	what is the weather like in *CITY	inform(in_city="Baltimore")&inform(task="weather")	inform(in_city="*CITY")&inform(task="weather")
		silence()	silence()
what time is it in	what time is it in	request(current_time)	request(current_time="*CURRENT_TIME")
		silence()	silence()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
need to find a bus connection from central park to the empire state building	need to find a *VEHICLE connection from *STOP to the *STOP	inform(from_stop="Central Park")&inform(to_stop="Empire State Building")&inform(vehicle="bus")&inform(task="find_connection")	inform(from_stop="*STOP")&inform(to_stop="*STOP")&inform(vehicle="*VEHICLE")&inform(task="find_connection")
what's the weather forecast in snover michigan	what's the weather forecast in *CITY *STATE	inform(in_city="Snover")&inform(in_state="Michigan")&inform(task="weather")	inform(in_city="*CITY")&inform(in_state="*STATE")&inform(task="weather")
what are the time requirements for the next connection from central park the east state empire	what are the time requirements for the next connection from *STOP the east state *CITY	inform(from_stop="Central Park")&inform(from_city="Empire")&inform(task="find_connection")&request(duration)&inform(alternative="next")	inform(from_stop="*STOP")&inform(from_city="*CITY")&inform(task="find_connection")&request(duration)&inform(alternative="next")
state building	state building	null()	null()
i need the time requirements for a bus connection from central park to the empire state building	i need the time requirements for a *VEHICLE connection from *STOP to the *STOP	inform(from_stop="Central Park")&inform(to_stop="Empire State Building")&inform(vehicle="bus")&inform(task="find_connection")&request(duration)	inform(from_stop="*STOP")&inform(to_stop="*STOP")&inform(vehicle="*VEHICLE")&inform(task="find_connection")&request(duration)
what is the next connection from central park	what is the next connection from *STOP	inform(from_stop="Central Park")&inform(task="find_connection")&inform(alternative="next")	inform(from_stop="*STOP")&inform(task="find_connection")&inform(alternative="next")
the empire state building	the *STOP	inform(stop="Empire State Building")	inform(stop="*STOP")
thank you goodbye	thank you goodbye	bye()&thankyou()	bye()&thankyou()
i need a bus connection	i need a *VEHICLE connection	inform(vehicle="bus")&inform(task="find_connection")	inform(vehicle="*VEHICLE")&inform(task="find_connection")
		silence()	silence()
		silence()	silence()
		silence()	silence()
yes	yes	affirm()	affirm()
		silence()	silence()
what time does it leave	what time does it leave	request(departure_time)	request(departure_time="*DEPARTURE_TIME")
		silence()	silence()
what time is it in popake falls	what time is it in popake *CITY	inform(in_city="Falls")&request(current_time)	inform(in_city="*CITY")&request(current_time="*CURRENT_TIME")
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
		silence()	silence()
		silence()	silence()
_noise_	_noise_	null()	null()
_noise_	_noise_	null()	null()
connection from central park to empire state building	connection from *STOP to *STOP	inform(from_stop="Central Park")&inform(to_stop="Empire State Building")&inform(task="find_connection")	inform(from_stop="*STOP")&inform(to_stop="*STOP")&inform(task="find_connection")
		silence()	silence()
		silence()	silence()
		silence()	silence()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
		silence()	silence()
		silence()	silence()
time	time	null()	null()
time	time	null()	null()
		silence()	silence()
		silence()	silence()
_noise_	_noise_	null()	null()
i want to find a bus connection from central park to empire state building	i want to find a *VEHICLE connection from *STOP to *STOP	inform(from_stop="Central Park")&inform(to_stop="Empire State Building")&inform(vehicle="bus")&inform(task="find_connection")	inform(from_stop="*STOP")&inform(to_stop="*STOP")&inform(vehicle="*VEHICLE")&inform(task="find_connection")
ok how long will that take and when is the next connection	ok how long will that take and when is the next connection	inform(task="find_connection")&ack()&request(departure_time)&request(duration)&inform(alternative="next")	inform(task="find_connection")&ack()&request(departure_time="*DEPARTURE_TIME")&request(duration)&inform(alternative="next")
can you give me a time for the next connection	can you give me a time for the next connection	inform(task="find_connection")&inform(alternative="next")	inform(task="find_connection")&inform(alternative="next")
what is the weather forecast and time in baltimore maryland	what is the weather forecast and time in *CITY *CITY	inform(in_city="Baltimore")&inform(in_state="Maryland")&inform(task="weather")	inform(in_city="*CITY")&inform(in_state="*STATE")&inform(task="weather")
can i get the weather forecast	can i get the weather forecast	inform(task="weather")	inform(task="weather")
and the time for baltimore	and the time for *CITY	inform(in_city="Baltimore")	inform(in_city="*CITY")
maryland	*CITY	inform(state="Maryland")	inform(state="*STATE")
what is the time	what is the time	request(current_time)	request(current_time="*CURRENT_TIME")
thank you goodbye	thank you goodbye	bye()&thankyou()	bye()&thankyou()
_noise_	_noise_	null()	null()
_noise_	_noise_	null()	null()
bus line	*VEHICLE line	inform(vehicle="bus")	inform(vehicle="*VEHICLE")
central park to empire state building	*STOP to *STOP	inform(from_stop="Central Park")&inform(to_stop="Empire State Building")	inform(from_stop="*STOP")&inform(to_stop="*STOP")
_noise_	_noise_	null()	null()
_noise_	_noise_	null()	null()
central park to empire state building	*STOP to *STOP	inform(from_stop="Central Park")&inform(to_stop="Empire State Building")	inform(from_stop="*STOP")&inform(to_stop="*STOP")
repeat	repeat	repeat()	repeat()
central park to empire state building	*STOP to *STOP	inform(from_stop="Central Park")&inform(to_stop="Empire State Building")	inform(from_stop="*STOP")&inform(to_stop="*STOP")
next connection	next connection	inform(task="find_connection")&inform(alternative="next")	inform(task="find_connection")&inform(alternative="next")
_noise_	_noise_	null()	null()
_noise_	_noise_	null()	null()
give me a connection from central park to empire state building	give me a connection from *STOP to *STOP	inform(from_stop="Central Park")&inform(to_stop="Empire State Building")&inform(task="find_connection")	inform(from_stop="*STOP")&inform(to_stop="*STOP")&inform(task="find_connection")
give me the number of transfers	give me the number of transfers	request(num_transfers)	request(num_transfers)
_noise_	_noise_	null()	null()
thank you goodbye	thank you goodbye	bye()&thankyou()	bye()&thankyou()
_noise_	_noise_	null()	null()
_noise_	_noise_	null()	null()
_noise_	_noise_	null()	null()
thank you goodbye	thank you goodbye	bye()&thankyou()	bye()&thankyou()
i need to make a connection	i need to make a connection	inform(task="find_connection")	inform(task="find_connection")
central park	*STOP	inform(stop="Central Park")	inform(stop="*STOP")
i want to go to empire state building	i want to go to *STOP	inform(to_stop="Empire State Building")&inform(task="find_connection")	inform(to_stop="*STOP")&inform(task="find_connection")
how long does it take	how long does it take	request(duration)	request(duration)
i want	i want	null()	null()
how many transfers are there	how many transfers are there	request(num_transfers)	request(num_transfers)
i want to go by bus	i want to go by *VEHICLE	inform(vehicle="bus")&inform(task="find_connection")	inform(vehicle="*VEHICLE")&inform(task="find_connection")
what time is it now	what time is it *TIME	inform(time_rel="now")&request(current_time)	inform(time_rel="*TIME_REL")&request(current_time="*CURRENT_TIME")
what is the weather like in detroit	what is the weather like in *CITY	inform(in_city="Detroit")&inform(task="weather")	inform(in_city="*CITY")&inform(task="weather")
michigan	*STATE	inform(state="Michigan")	inform(state="*STATE")
yes	yes	affirm()	affirm()
what is the weather like in new york	what is the weather like in *CITY	inform(in_city="New York")&inform(task="weather")	inform(in_city="*CITY")&inform(task="weather")
what is the weather like in new york new york	what is the weather like in *CITY *CITY	inform(in_city="New York")&inform(to_city="New York")&inform(task="weather")	inform(in_city="*CITY")&inform(to_city="*CITY")&inform(task="weather")
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
bus connection from central park to empire state building	*VEHICLE connection from *STOP to *STOP	inform(from_stop="Central Park")&inform(to_stop="Empire State Building")&inform(vehicle="bus")&inform(task="find_connection")	inform(from_stop="*STOP")&inform(to_stop="*STOP")&inform(vehicle="*VEHICLE")&inform(task="find_connection")
		silence()	silence()
		silence()	silence()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
find bus connection from central park to empire state building	find *VEHICLE connection from *STOP to *STOP	inform(from_stop="Central Park")&inform(to_stop="Empire State Building")&inform(vehicle="bus")&inform(task="find_connection")	inform(from_stop="*STOP")&inform(to_stop="*STOP")&inform(vehicle="*VEHICLE")&inform(task="find_connection")
what are the time requirements	what are the time requirements	request(duration)	request(duration)
time requirements and next connection	time requirements and next connection	inform(task="find_connection")&request(duration)&inform(alternative="next")	inform(task="find_connection")&request(duration)&inform(alternative="next")
		silence()	silence()
weather forecast in orlando florida	weather forecast in *CITY *CITY	inform(in_city="Orlando")&inform(in_state="Florida")&inform(task="weather")	inform(in_city="*CITY")&inform(in_state="*STATE")&inform(task="weather")
florida	*CITY	inform(state="Florida")	inform(state="*STATE")
florida	*CITY	inform(state="Florida")	inform(state="*STATE")
		silence()	silence()
georgia	*STATE	inform(state="Georgia")	inform(state="*STATE")
yes	yes	affirm()	affirm()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
_noise_	_noise_	null()	null()
that was it	that was it	bye()	bye()
last connection	last connection	inform(task="find_connection")&inform(alternative="last")	inform(task="find_connection")&inform(alternative="last")
		silence()	silence()
		silence()	silence()
looking for bus connection	looking for *VEHICLE connection	inform(vehicle="bus")&inform(task="find_connection")	inform(vehicle="*VEHICLE")&inform(task="find_connection")
		silence()	silence()
i want to find a bus connection from central park to the empire state building	i want to find a *VEHICLE connection from *STOP to the *STOP	inform(from_stop="Central Park")&inform(to_stop="Empire State Building")&inform(vehicle="bus")&inform(task="find_connection")	inform(from_stop="*STOP")&inform(to_stop="*STOP")&inform(vehicle="*VEHICLE")&inform(task="find_connection")
how long will it take	how long will it take	request(duration)	request(duration)
when is the next connection	when is the next connection	inform(task="find_connection")&request(departure_time)&inform(alternative="next")	inform(task="find_connection")&request(departure_time="*DEPARTURE_TIME")&inform(alternative="next")
weather forecast and time	weather forecast and time	inform(task="weather")	inform(task="weather")
thank you goodbye	thank you goodbye	bye()&thankyou()	bye()&thankyou()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
how long does it take	how long does it take	request(duration)	request(duration)
		silence()	silence()
ok what time is it now	ok what time is it *TIME	inform(time_rel="now")&ack()&request(current_time)	inform(time_rel="*TIME_REL")&ack()&request(current_time="*CURRENT_TIME")
		silence()	silence()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
		silence()	silence()
how long will it take to get from central park to the empire state building	how long will it take to get from *STOP to the *STOP	inform(from_stop="Central Park")&inform(to_stop="Empire State Building")&request(duration)	inform(from_stop="*STOP")&inform(to_stop="*STOP")&request(duration)
i need a bus connection from central park to the empire state building	i need a *VEHICLE connection from *STOP to the *STOP	inform(from_stop="Central Park")&inform(to_stop="Empire State Building")&inform(vehicle="bus")&inform(task="find_connection")	inform(from_stop="*STOP")&inform(to_stop="*STOP")&inform(vehicle="*VEHICLE")&inform(task="find_connection")
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
nothing else good bye	nothing else good bye	bye()	bye()
lost connection from central park to empire state building	lost connection from *STOP to *STOP	inform(from_stop="Central Park")&inform(to_stop="Empire State Building")&inform(task="find_connection")	inform(from_stop="*STOP")&inform(to_stop="*STOP")&inform(task="find_connection")
		silence()	silence()
time requirements	time requirements	request(duration)	request(duration)
what is the next connection	what is the next connection	inform(task="find_connection")&inform(alternative="next")	inform(task="find_connection")&inform(alternative="next")
weather forecast	weather forecast	inform(task="weather")	inform(task="weather")
		silence()	silence()
_noise_	_noise_	null()	null()
		silence()	silence()
		silence()	silence()
_noise_	_noise_	null()	null()
the time in chicago	the time in *CITY	inform(in_city="Chicago")&request(current_time)	inform(in_city="*CITY")&request(current_time="*CURRENT_TIME")
		silence()	silence()
ok thank you good bye	ok thank you good bye	bye()&thankyou()&ack()	bye()&thankyou()&ack()
		silence()	silence()
empire state building	*STOP	inform(stop="Empire State Building")	inform(stop="*STOP")
		silence()	silence()
weather forecast	weather forecast	inform(task="weather")	inform(task="weather")
		silence()	silence()
time	time	null()	null()
		silence()	silence()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
i need a bus connection from central park empire state building	i need a *VEHICLE connection from *STOP *STOP	inform(from_stop="Central Park")&inform(to_stop="Empire State Building")&inform(vehicle="bus")&inform(task="find_connection")	inform(from_stop="*STOP")&inform(to_stop="*STOP")&inform(vehicle="*VEHICLE")&inform(task="find_connection")
central park to empire state building	*STOP to *STOP	inform(from_stop="Central Park")&inform(to_stop="Empire State Building")	inform(from_stop="*STOP")&inform(to_stop="*STOP")
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
		silence()	silence()
yes	yes	affirm()	affirm()
yes i understand	yes i understand	affirm()&ack()	affirm()&ack()
		silence()	silence()
ok	ok	ack()	ack()
		silence()	silence()
thank you	thank you	thankyou()	thankyou()
		silence()	silence()
that is all	that is all	bye()	bye()
		silence()	silence()
		silence()	silence()
		silence()	silence()
what is the weather like	what is the weather like	inform(task="weather")	inform(task="weather")
		silence()	silence()
		silence()	silence()
hi i'm looking for a bus connection from central park to the empire state building please	hi i'm looking for a *VEHICLE connection from *STOP to the *STOP please	inform(from_stop="Central Park")&inform(to_stop="Empire State Building")&inform(vehicle="bus")&inform(task="find_connection")&hello()	inform(from_stop="*STOP")&inform(to_stop="*STOP")&inform(vehicle="*VEHICLE")&inform(task="find_connection")&hello()
how long will that take	how long will that take	request(duration)	request(duration)
are there any transfers	are there any transfers	request(num_transfers)	request(num_transfers)
yes what time does that leave again	yes what time does that leave again	affirm()&request(departure_time)	affirm()&request(departure_time="*DEPARTURE_TIME")
		silence()	silence()
		silence()	silence()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
weather in minneapolis	weather in *CITY	inform(in_city="Minneapolis")&inform(task="weather")	inform(in_city="*CITY")&inform(task="weather")
minnesota	*STATE	inform(state="Minnesota")	inform(state="*STATE")
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
		silence()	silence()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
		silence()	silence()
		silence()	silence()
		silence()	silence()
i want to find a bus connection from central park to empire state building	i want to find a *VEHICLE connection from *STOP to *STOP	inform(from_stop="Central Park")&inform(to_stop="Empire State Building")&inform(vehicle="bus")&inform(task="find_connection")	inform(from_stop="*STOP")&inform(to_stop="*STOP")&inform(vehicle="*VEHICLE")&inform(task="find_connection")
		silence()	silence()
weather in south arkana	weather in south arkana	inform(task="weather")	inform(task="weather")
weekend forecast	weekend forecast	null()	null()
		silence()	silence()
		silence()	silence()
		silence()	silence()
what are the time requirements	what are the time requirements	request(duration)	request(duration)
		silence()	silence()
bus connection from central park to empire state building	*VEHICLE connection from *STOP to *STOP	inform(from_stop="Central Park")&inform(to_stop="Empire State Building")&inform(vehicle="bus")&inform(task="find_connection")	inform(from_stop="*STOP")&inform(to_stop="*STOP")&inform(vehicle="*VEHICLE")&inform(task="find_connection")
what is the next connection	what is the next connection	inform(task="find_connection")&inform(alternative="next")	inform(task="find_connection")&inform(alternative="next")
_noise_	_noise_	null()	null()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
		silence()	silence()
		silence()	silence()
		silence()	silence()
when will the next bus	when will the next *VEHICLE	inform(vehicle="bus")&request(departure_time)&inform(alternative="next")	inform(vehicle="*VEHICLE")&request(departure_time="*DEPARTURE_TIME")&inform(alternative="next")
		silence()	silence()
when is the next connection	when is the next connection	inform(task="find_connection")&request(departure_time)&inform(alternative="next")	inform(task="find_connection")&request(departure_time="*DEPARTURE_TIME")&inform(alternative="next")
		silence()	silence()
		silence()	silence()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
		silence()	silence()
yes	yes	affirm()	affirm()
want to find a bus connection	want to find a *VEHICLE connection	inform(vehicle="bus")&inform(task="find_connection")	inform(vehicle="*VEHICLE")&inform(task="find_connection")
the empire state building	the *STOP	inform(stop="Empire State Building")	inform(stop="*STOP")
		silence()	silence()
weather forecast	weather forecast	inform(task="weather")	inform(task="weather")
		silence()	silence()
		silence()	silence()
