Testing connection to the update server..
yes	yes	affirm()	affirm()
(hum) that's fine	(hum) that's fine	ack()	ack()
yes	yes	affirm()	affirm()
i'm at columbia university	i'm at *STOP	inform(from_stop="Columbia University")	inform(from_stop="*STOP")
and i am going to visit dyckman street	and i am going to visit *STREET	inform(to_street="Dyckman St")	inform(to_street="*STREET")
departure stop columbia university	departure stop *STOP	inform(stop="Columbia University")	inform(stop="*STOP")
going to dyckman street	going to *STREET	inform(to_street="Dyckman St")	inform(to_street="*STREET")
do you have an alternative at a later time oh	do you have an alternative at a later time oh	inform(alternative="next")	inform(alternative="next")
i'm at columbia university i'm going to city hall	i'm at *STOP i'm going to *STOP	inform(from_stop="Columbia University")&inform(to_stop="City Hall")	inform(from_stop="*STOP")&inform(to_stop="*STOP")
yes	yes	affirm()	affirm()
no start over	no start over	negate()&restart()	negate()&restart()
no	no	negate()	negate()
none	none	null()	null()
none	none	null()	null()
thank you goodbye	thank you goodbye	bye()&thankyou()	bye()&thankyou()
i am at columbia university and i'm going to city hall	i am at *STOP and i'm going to *STOP	inform(from_stop="Columbia University")&inform(to_stop="City Hall")	inform(from_stop="*STOP")&inform(to_stop="*STOP")
dyckman street	*STREET	inform(street="Dyckman St")	inform(street="*STREET")
city hall	*STOP	inform(stop="City Hall")	inform(stop="*STOP")
columbia university	*STOP	inform(stop="Columbia University")	inform(stop="*STOP")
how long will it take to get to city hall	how long will it take to get to *STOP	inform(to_stop="City Hall")&request(duration)	inform(to_stop="*STOP")&request(duration)
do you have an alternative at a later time	do you have an alternative at a later time	inform(alternative="next")	inform(alternative="next")
(unint) schedule at six in the evening	(unint) schedule at *NUMBER in the *AMPM	inform(departure_time="6:00")&inform(ampm="evening")&inform(task="find_connection")	inform(departure_time="*DEPARTURE_TIME")&inform(ampm="*AMPM")&inform(task="find_connection")
same destination in the evening at six	same destination in the *AMPM at *NUMBER	inform(time="6:00")&inform(ampm="evening")	inform(time="*TIME")&inform(ampm="*AMPM")
i want to ride in city hall	i want to ride in *STOP	inform(to_stop="City Hall")	inform(to_stop="*STOP")
thank you goodbye	thank you goodbye	bye()&thankyou()	bye()&thankyou()
i'm looking for an itinerary	i'm looking for an itinerary	inform(task="find_connection")	inform(task="find_connection")
(hum) chambers street	(hum) *STREET	inform(street="Chambers St")	inform(street="*STREET")
rector street	*STREET	inform(street="Rector St")	inform(street="*STREET")
how long will that take	how long will that take	request(duration)	request(duration)
alright if i go by bus	alright if i go by *VEHICLE	inform(vehicle="bus")	inform(vehicle="*VEHICLE")
ok	ok	ack()	ack()
is there a way to	is there a way to	null()	null()
p m	*AMPM	inform(ampm="pm")	inform(ampm="*AMPM")
alright if	alright if	null()	null()
is there	is there	null()	null()
a way to go not by bus	a way to go not by *VEHICLE	inform(vehicle="bus")&negate()	inform(vehicle="*VEHICLE")&negate()
six o'clock	*NUMBER o'clock	inform(time="6:00")	inform(time="*TIME")
i would like to go from chambers street to	i would like to go from *STREET to	inform(from_street="Chambers St")&inform(task="find_connection")	inform(from_street="*STREET")&inform(task="find_connection")
to rector street at six o'clock	to *STREET at *NUMBER o'clock	inform(to_street="Rector St")&inform(time="6:00")	inform(to_street="*STREET")&inform(time="*TIME")
okay thank you goodbye	okay thank you goodbye	bye()&thankyou()&ack()	bye()&thankyou()&ack()
i am looking for an itinerary	i am looking for an itinerary	inform(task="find_connection")	inform(task="find_connection")
(hum) i want to stop at columbia university but i am heading to dyckman street	(hum) i want to stop at *STOP but i am heading to *STREET	inform(to_street="Dyckman St")&inform(to_stop="Columbia University")&inform(task="find_connection")	inform(to_street="*STREET")&inform(to_stop="*STOP")&inform(task="find_connection")
yes	yes	affirm()	affirm()
columbia university	*STOP	inform(stop="Columbia University")	inform(stop="*STOP")
how long will it take to get to columbia university to	how long will it take to get to *STOP to	inform(to_stop="Columbia University")&request(duration)	inform(to_stop="*STOP")&request(duration)
dyckman street	*STREET	inform(street="Dyckman St")	inform(street="*STREET")
i need to go to city hall	i need to go to *STOP	inform(to_stop="City Hall")	inform(to_stop="*STOP")
how long will that trip take	how long will that trip take	request(duration)	request(duration)
is there a time i can leave at six p m	is there a time i can leave at *NUMBER *AMPM	inform(time="6:00")&inform(ampm="pm")	inform(time="*TIME")&inform(ampm="*AMPM")
thank you goodbye	thank you goodbye	bye()&thankyou()	bye()&thankyou()
i would like to find out about a connection	i would like to find out about a connection	inform(task="find_connection")	inform(task="find_connection")
roosevelt to union street	*CITY to *STREET	inform(to_street="Union St")&inform(from_city="Roosevelt")	inform(to_street="*STREET")&inform(from_city="*CITY")
central park	*STOP	inform(stop="Central Park")	inform(stop="*STOP")
central park	*STOP	inform(stop="Central Park")	inform(stop="*STOP")
central park	*STOP	inform(stop="Central Park")	inform(stop="*STOP")
union street	*STREET	inform(street="Union St")	inform(street="*STREET")
(unint)	(unint)	null()	null()
yes	yes	affirm()	affirm()
(unint)	(unint)	null()	null()
help	help	help()	help()
how long does it take	how long does it take	request(duration)	request(duration)
i would like to go to central park	i would like to go to *STOP	inform(to_stop="Central Park")&inform(task="find_connection")	inform(to_stop="*STOP")&inform(task="find_connection")
(unint) avenue	(unint) *CITY	inform(city="Avenue")	inform(city="*CITY")
yes how long does it take	yes how long does it take	affirm()&request(duration)	affirm()&request(duration)
(unint)	(unint)	null()	null()
(unint)	(unint)	null()	null()
yes	yes	affirm()	affirm()
thank you goodbye	thank you goodbye	bye()&thankyou()	bye()&thankyou()
i need -tation route departing from franklin street	i need -tation route departing from *STREET	inform(from_street="Franklin St")	inform(from_street="*STREET")
union square	*STREET	inform(street="Union Sq")	inform(street="*STREET")
union square	*STREET	inform(street="Union Sq")	inform(street="*STREET")
the station at union square	the station at *STREET	inform(street="Union Sq")	inform(street="*STREET")
union square	*STREET	inform(street="Union Sq")	inform(street="*STREET")
bowling green	*STOP	inform(stop="Bowling Green")	inform(stop="*STOP")
union square	*STREET	inform(street="Union Sq")	inform(street="*STREET")
thank you goodbye	thank you goodbye	bye()&thankyou()	bye()&thankyou()
i need a public transit route from departing from franklin street	i need a public transit route from departing from *STREET	inform(from_street="Franklin St")	inform(from_street="*STREET")
union square	*STREET	inform(street="Union Sq")	inform(street="*STREET")
union square	*STREET	inform(street="Union Sq")	inform(street="*STREET")
union square	*STREET	inform(street="Union Sq")	inform(street="*STREET")
thank you goodbye	thank you goodbye	bye()&thankyou()	bye()&thankyou()
i want to go from bryant park to cathedral parkway	i want to go from *STREET to *STREET	inform(from_street="Bryant Park")&inform(to_street="Cathedral Pkwy")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(task="find_connection")
-thedral parkway	-thedral parkway	null()	null()
cathedral parkway	*STREET	inform(street="Cathedral Pkwy")	inform(street="*STREET")
-edral parkway	-edral parkway	null()	null()
yes	yes	affirm()	affirm()
yes	yes	affirm()	affirm()
thank you goodbye	thank you goodbye	bye()&thankyou()	bye()&thankyou()
i would like to get to the world trade center	i would like to get to the *STREET	inform(to_street="World Trade Ctr")&inform(task="find_connection")	inform(to_street="*STREET")&inform(task="find_connection")
to wall street	to *STREET	inform(to_street="Wall St")	inform(to_street="*STREET")
world trade center	*STREET	inform(street="World Trade Ctr")	inform(street="*STREET")
world trade center	*STREET	inform(street="World Trade Ctr")	inform(street="*STREET")
world trade center	*STREET	inform(street="World Trade Ctr")	inform(street="*STREET")
thank you goodbye	thank you goodbye	bye()&thankyou()	bye()&thankyou()
(unint)	(unint)	null()	null()
yes	yes	affirm()	affirm()
(unint)	(unint)	null()	null()
-sas city missouri	-sas city *STATE	inform(state="Missouri")	inform(state="*STATE")
(hum) i don't care	(hum) i don't care	null()	null()
city missouri	city *STATE	null()	null()
missouri	*STATE	inform(state="Missouri")	inform(state="*STATE")
kansas city missouri	*CITY *STATE	inform(city="Kansas City")&inform(state="Missouri")	inform(city="*CITY")&inform(state="*STATE")
clearly	clearly	null()	null()
(unint)	(unint)	null()	null()
(unint)	(unint)	null()	null()
yes three p m	yes *NUMBER *AMPM	inform(time="3:00")&inform(ampm="pm")&affirm()	inform(time="*TIME")&inform(ampm="*AMPM")&affirm()
kansas city	*CITY	inform(city="Kansas City")	inform(city="*CITY")
city	city	null()	null()
yeah	yeah	affirm()	affirm()
(unint)	(unint)	null()	null()
yes we do	yes we do	affirm()	affirm()
kansas	*CITY	inform(state="Kansas")	inform(state="*STATE")
kansas city	*CITY	inform(city="Kansas City")	inform(city="*CITY")
city missouri	city *STATE	null()	null()
city	city	null()	null()
in kansas	in *CITY	inform(in_state="Kansas")	inform(in_state="*STATE")
kansas city	*CITY	inform(city="Kansas City")	inform(city="*CITY")
i don't care	i don't care	null()	null()
i'm traveling to kansas	i'm traveling to *CITY	inform(state="Kansas")	inform(state="*STATE")
i want to travel to kansas	i want to travel to *CITY	inform(state="Kansas")&inform(task="find_connection")	inform(state="*STATE")&inform(task="find_connection")
to kansas city	to *CITY	inform(to_city="Kansas City")	inform(to_city="*CITY")
from new york	from *CITY	inform(from_city="New York")	inform(from_city="*CITY")
new york city	*CITY	inform(city="New York")	inform(city="*CITY")
(unint)	(unint)	null()	null()
what stations are there	what stations are there	null()	null()
new york city	*CITY	inform(city="New York")	inform(city="*CITY")
from new york city	from *CITY	inform(from_city="New York")	inform(from_city="*CITY")
(unint)	(unint)	null()	null()
how do i go from columbus circle to lincoln center	how do i go from *STREET to *STOP	inform(from_street="Columbus Cir")&inform(to_stop="Lincoln Center")	inform(from_street="*STREET")&inform(to_stop="*STOP")
when is the arrival time	when is the arrival time	request(arrival_time)	request(arrival_time="*ARRIVAL_TIME")
is there a connection by bus	is there a connection by *VEHICLE	inform(vehicle="bus")&inform(task="find_connection")	inform(vehicle="*VEHICLE")&inform(task="find_connection")
i want to go to rector street	i want to go to *STREET	inform(to_street="Rector St")&inform(task="find_connection")	inform(to_street="*STREET")&inform(task="find_connection")
thank you goodbye	thank you goodbye	bye()&thankyou()	bye()&thankyou()
i want to leave from penn station and go to hudson street	i want to leave from *STOP and go to *STREET	inform(to_street="Hudson St")&inform(from_stop="Penn Station")	inform(to_street="*STREET")&inform(from_stop="*STOP")
is there another alternative for six o'clock in the evening by taking the bus	is there another alternative for *NUMBER o'clock in the *AMPM by taking the *VEHICLE	inform(time="6:00")&inform(ampm="evening")&inform(vehicle="bus")&reqalts()&inform(alternative="next")	inform(time="*TIME")&inform(ampm="*AMPM")&inform(vehicle="*VEHICLE")&reqalts()&inform(alternative="next")
i want to leave from penn station and go to houston street	i want to leave from *STOP and go to *STREET	inform(to_street="Houston St")&inform(from_stop="Penn Station")	inform(to_street="*STREET")&inform(from_stop="*STOP")
is there another alternative	is there another alternative	reqalts()&inform(alternative="next")	reqalts()&inform(alternative="next")
is there an alternative at six in the evening	is there an alternative at *NUMBER in the *AMPM	inform(time="6:00")&inform(ampm="evening")	inform(time="*TIME")&inform(ampm="*AMPM")
yes	yes	affirm()	affirm()
i want to take the bus	i want to take the *VEHICLE	inform(vehicle="bus")&inform(task="find_connection")	inform(vehicle="*VEHICLE")&inform(task="find_connection")
my destination stop is the world trade center	my destination stop is the *STREET	inform(to_street="World Trade Ctr")	inform(to_street="*STREET")
thank you goodbye	thank you goodbye	bye()&thankyou()	bye()&thankyou()
i want to get from bryant park to grand street	i want to get from *STREET to *STREET	inform(from_street="Bryant Park")&inform(to_street="Grand St")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(task="find_connection")
i wanna arrive at grand street	i wanna arrive at *STREET	inform(street="Grand St")	inform(street="*STREET")
i want to depart from bryant park	i want to depart from *STREET	confirm(from_street="Bryant Park")	confirm(from_street="*STREET")
no	no	negate()	negate()
yes	yes	affirm()	affirm()
i want to make a connection	i want to make a connection	inform(task="find_connection")	inform(task="find_connection")
grand street	*STREET	inform(street="Grand St")	inform(street="*STREET")
bryant park	*STREET	inform(street="Bryant Park")	inform(street="*STREET")
how long will it take me to get there	how long will it take me to get there	request(duration)	request(duration)
(unint)	(unint)	null()	null()
can i how about if i leave at six p m	can i how about if i leave at *NUMBER *AMPM	inform(time="6:00")&inform(ampm="pm")	inform(time="*TIME")&inform(ampm="*AMPM")
(unint)	(unint)	null()	null()
no no no i would like to leave at six	no no no i would like to leave at *NUMBER	deny(time="6:00")&negate()	deny(time="*TIME")&negate()
yes i would like to leave later at six p m	yes i would like to leave later at *NUMBER *AMPM	inform(time="6:00")&inform(ampm="pm")&affirm()	inform(time="*TIME")&inform(ampm="*AMPM")&affirm()
no	no	negate()	negate()
thank you goodbye	thank you goodbye	bye()&thankyou()	bye()&thankyou()
public tr-	public tr-	null()	null()
transit	transit	null()	null()
from fulton street to rockefeller center	from *STREET to *STOP	inform(from_street="Fulton St")&inform(to_stop="Rockefeller Center")	inform(from_street="*STREET")&inform(to_stop="*STOP")
yes	yes	affirm()	affirm()
yes	yes	affirm()	affirm()
what time would i arrive	what time would i arrive	request(arrival_time)	request(arrival_time="*ARRIVAL_TIME")
arrival time	arrival time	request(arrival_time)	request(arrival_time="*ARRIVAL_TIME")
arrival time	arrival time	request(arrival_time)	request(arrival_time="*ARRIVAL_TIME")
yes	yes	affirm()	affirm()
no	no	negate()	negate()
there a six o'clock schedule	there a *NUMBER o'clock schedule	inform(departure_time="6:00")&inform(task="find_connection")	inform(departure_time="*DEPARTURE_TIME")&inform(task="find_connection")
i'd rather use	i'd rather use	null()	null()
i'd rather use the bus	i'd rather use the *VEHICLE	inform(vehicle="bus")	inform(vehicle="*VEHICLE")
yes	yes	affirm()	affirm()
yes	yes	affirm()	affirm()
thank you goodbye	thank you goodbye	bye()&thankyou()	bye()&thankyou()
i would like to go to east broadway f-	i would like to go to *STREET f-	inform(to_street="E Broadway")&inform(task="find_connection")	inform(to_street="*STREET")&inform(task="find_connection")
from columbus circle	from *STREET	inform(from_street="Columbus Cir")	inform(from_street="*STREET")
columbus circle	*STREET	inform(street="Columbus Cir")	inform(street="*STREET")
columbus circle	*STREET	inform(street="Columbus Cir")	inform(street="*STREET")
columbus circle	*STREET	inform(street="Columbus Cir")	inform(street="*STREET")
broadway	*STREET	inform(street="Broadway")	inform(street="*STREET")
can we start over	can we start over	restart()	restart()
columbus circle	*STREET	inform(street="Columbus Cir")	inform(street="*STREET")
columbus circle	*STREET	inform(street="Columbus Cir")	inform(street="*STREET")
broadway	*STREET	inform(street="Broadway")	inform(street="*STREET")
oh goodness	oh goodness	null()	null()
thank you goodbye	thank you goodbye	bye()&thankyou()	bye()&thankyou()
i'm departing from houston street	i'm departing from *STREET	inform(from_street="Houston St")	inform(from_street="*STREET")
and i'm going to delancey street	and i'm going to *STREET	inform(to_street="Delancey St")	inform(to_street="*STREET")
how long (sil) the trip will take	how long (sil) the trip will take	request(duration)	request(duration)
yes	yes	affirm()	affirm()
no from houston street	no from *STREET	inform(from_street="Houston St")&negate()	inform(from_street="*STREET")&negate()
no i'm departing from houston street and i'm going to delancey street	no i'm departing from *STREET and i'm going to *STREET	inform(from_street="Houston St")&inform(to_street="Delancey St")&negate()	inform(from_street="*STREET")&inform(to_street="*STREET")&negate()
how long will the trip take	how long will the trip take	request(duration)	request(duration)
thank you goodbye	thank you goodbye	bye()&thankyou()	bye()&thankyou()
i am not sure	i am not sure	affirm()&negate()	affirm()&negate()
the bronx (noise)	the *BOROUGH (noise)	inform(borough="Bronx")	inform(borough="*BOROUGH")
(unint)	(unint)	null()	null()
thirty sixth street	*STREET	inform(street="36 St")	inform(street="*STREET")
roosevelt avenue and union street	*STOP	inform(stop="Roosevelt Av /Union St")	inform(stop="*STOP")
na	na	null()	null()
yes	yes	affirm()	affirm()
when does it leave	when does it leave	request(departure_time)	request(departure_time="*DEPARTURE_TIME")
how do i go from penn station to union square	how do i go from *STOP to *STREET	inform(to_street="Union Sq")&inform(from_stop="Penn Station")	inform(to_street="*STREET")&inform(from_stop="*STOP")
how much time does it take	how much time does it take	request(duration)	request(duration)
how much time does it take	how much time does it take	request(duration)	request(duration)
what time will i be there	what time will i be there	request(arrival_time)	request(arrival_time="*ARRIVAL_TIME")
is there a subsequent schedule	is there a subsequent schedule	inform(task="find_connection")	inform(task="find_connection")
i want to take the bus	i want to take the *VEHICLE	inform(vehicle="bus")&inform(task="find_connection")	inform(vehicle="*VEHICLE")&inform(task="find_connection")
thank you goodbye	thank you goodbye	bye()&thankyou()	bye()&thankyou()
i need to know how to depart from bryant park and finish at bowery	i need to know how to depart from *STREET and finish at *STREET	confirm(from_street="Bryant Park")&inform(from_street2="Bowery")	confirm(from_street="*STREET")&inform(from_street2="*STREET")
(unint)	(unint)	null()	null()
bryant park	*STREET	inform(street="Bryant Park")	inform(street="*STREET")
and how long will it take to get there	and how long will it take to get there	request(duration)	request(duration)
thank you goodbye	thank you goodbye	bye()&thankyou()	bye()&thankyou()
depart from broad street and head towards rockefeller center	depart from *STREET and head towards *STOP	confirm(from_street="Broad St")&confirm(from_stop="Rockefeller Center")	confirm(from_street="*STREET")&confirm(from_stop="*STOP")
how long will it take to re-	how long will it take to re-	request(duration)	request(duration)
-each the destination and what time will i be there	-each the destination and what time will i be there	request(arrival_time)	request(arrival_time="*ARRIVAL_TIME")
broad street and head towards rockefeller center	*STREET and head towards *STOP	inform(street="Broad St")&inform(stop="Rockefeller Center")	inform(street="*STREET")&inform(stop="*STOP")
no	no	negate()	negate()
yes	yes	affirm()	affirm()
no	no	negate()	negate()
i would like to depart from broad street and go to rockefeller center	i would like to depart from *STREET and go to *STOP	confirm(from_street="Broad St")&confirm(to_stop="Rockefeller Center")	confirm(from_street="*STREET")&confirm(to_stop="*STOP")
no	no	negate()	negate()
how long will it take	how long will it take	request(duration)	request(duration)
what time will i be there	what time will i be there	request(arrival_time)	request(arrival_time="*ARRIVAL_TIME")
alternative at six p m	alternative at *NUMBER *AMPM	inform(time="6:00")&inform(ampm="pm")	inform(time="*TIME")&inform(ampm="*AMPM")
no	no	negate()	negate()
i'm heading to port authority bus terminal	i'm heading to *STOP	inform(to_stop="Port Authority Bus Terminal")&inform(task="find_connection")	inform(to_stop="*STOP")&inform(task="find_connection")
thank you goodbye	thank you goodbye	bye()&thankyou()	bye()&thankyou()
goodbye	goodbye	bye()	bye()
yes how do i get from canal street to union square	yes how do i get from *STREET to *STREET	inform(from_street="Canal St")&inform(to_street="Union Sq")&affirm()	inform(from_street="*STREET")&inform(to_street="*STREET")&affirm()
how much time does it take	how much time does it take	request(duration)	request(duration)
yes how much time would that take	yes how much time would that take	affirm()&request(duration)	affirm()&request(duration)
yes (hum)	yes (hum)	affirm()	affirm()
what if my destination stop is lincoln center	what if my destination stop is *STOP	inform(to_stop="Lincoln Center")&request(to_stop)	inform(to_stop="*STOP")&request(to_stop="*STOP")
thanks goodbye	thanks goodbye	bye()&thankyou()	bye()&thankyou()
i am headed from penn station to rector street and i was wondering how long the ride would be	i am headed from *STOP to *STREET and i was wondering how long the ride would be	inform(to_street="Rector St")&inform(from_stop="Penn Station")&request(distance)	inform(to_street="*STREET")&inform(from_stop="*STOP")&request(distance)
rector street	*STREET	inform(street="Rector St")	inform(street="*STREET")
penn station	*STOP	inform(stop="Penn Station")	inform(stop="*STOP")
how long is the trip	how long is the trip	request(duration)&request(distance)	request(duration)&request(distance)
is there an option at six o'clock	is there an option at *NUMBER o'clock	inform(time="6:00")	inform(time="*TIME")
by bus	by *VEHICLE	inform(vehicle="bus")	inform(vehicle="*VEHICLE")
yes (noise)	yes (noise)	affirm()	affirm()
ok my destination is now marble hill	ok my destination is *TIME *STOP	inform(to_stop="Marble Hill")&inform(time_rel="now")&ack()	inform(to_stop="*STOP")&inform(time_rel="*TIME_REL")&ack()
yes	yes	affirm()	affirm()
thank you	thank you	thankyou()	thankyou()
goodbye	goodbye	bye()	bye()
i need a trip going from (hum) cortlandt street to grand street	i need a trip going from (hum) *STREET to *STREET	inform(from_street="Cortlandt St")&inform(to_street="Grand St")	inform(from_street="*STREET")&inform(to_street="*STREET")
grand street	*STREET	inform(street="Grand St")	inform(street="*STREET")
cortlandt street	*STREET	inform(street="Cortlandt St")	inform(street="*STREET")
(hum) east broadway	(hum) *STREET	inform(street="E Broadway")	inform(street="*STREET")
cortlandt street	*STREET	inform(street="Cortlandt St")	inform(street="*STREET")
cortlandt street	*STREET	inform(street="Cortlandt St")	inform(street="*STREET")
grind street	grind street	null()	null()
cortlandt street	*STREET	inform(street="Cortlandt St")	inform(street="*STREET")
no	no	negate()	negate()
cortlandt street	*STREET	inform(street="Cortlandt St")	inform(street="*STREET")
yes	yes	affirm()	affirm()
no	no	negate()	negate()
thank you goodbye	thank you goodbye	bye()&thankyou()	bye()&thankyou()
thank you goodbye	thank you goodbye	bye()&thankyou()	bye()&thankyou()
i am leaving from houston street and heading towards essex street	i am leaving from *STREET and heading towards *STREET	inform(from_street="Houston St")&inform(from_street2="Essex St")	inform(from_street="*STREET")&inform(from_street2="*STREET")
what time will i reach the destination	what time will i reach the destination	request(arrival_time)	request(arrival_time="*ARRIVAL_TIME")
i would like to go from houston street to	i would like to go from *STREET to	inform(from_street="Houston St")&inform(task="find_connection")	inform(from_street="*STREET")&inform(task="find_connection")
essex street	*STREET	inform(street="Essex St")	inform(street="*STREET")
thank you goodbye	thank you goodbye	bye()&thankyou()	bye()&thankyou()
(unint)	(unint)	null()	null()
i'm leaving from penn station and heading towards washington square (sil) penn station to washington square (sil) thank you goodbye (sil) hello (sil) i'm leaving from penn station and i'm heading to washington square (sil)	i'm leaving from *STOP and heading towards *STOP (sil) *STOP to *STOP (sil) thank you goodbye (sil) hello (sil) i'm leaving from *STOP and i'm heading to *STOP (sil)	inform(from_stop="Penn Station")&inform(from_stop="Washington Square")&inform(to_stop="Washington Square")&hello()&bye()&thankyou()&inform(task="find_connection")	inform(from_stop="*STOP")&inform(from_stop="*STOP")&inform(to_stop="*STOP")&hello()&bye()&thankyou()&inform(task="find_connection")
i'm going from penn station to washington square (sil) thank you goodbye (sil) (noise)	i'm going from *STOP to *STOP (sil) thank you goodbye (sil) (noise)	inform(from_stop="Penn Station")&inform(to_stop="Washington Square")&bye()&thankyou()	inform(from_stop="*STOP")&inform(to_stop="*STOP")&bye()&thankyou()
search for a route	search for a route	null()	null()
delancey street	*STREET	inform(street="Delancey St")	inform(street="*STREET")
go back	go back	null()	null()
delancey street	*STREET	inform(street="Delancey St")	inform(street="*STREET")
franklin street	*STREET	inform(street="Franklin St")	inform(street="*STREET")
go back	go back	null()	null()
franklin street	*STREET	inform(street="Franklin St")	inform(street="*STREET")
no	no	negate()	negate()
search for a ride	search for a ride	null()	null()
franklin street	*STREET	inform(street="Franklin St")	inform(street="*STREET")
start over	start over	restart()	restart()
(unint)	(unint)	null()	null()
delancey street	*STREET	inform(street="Delancey St")	inform(street="*STREET")
delancey street	*STREET	inform(street="Delancey St")	inform(street="*STREET")
delancey street	*STREET	inform(street="Delancey St")	inform(street="*STREET")
no	no	negate()	negate()
no	no	negate()	negate()
franklin street	*STREET	inform(street="Franklin St")	inform(street="*STREET")
start over	start over	restart()	restart()
search for (unint)	search for (unint)	null()	null()
delancey street	*STREET	inform(street="Delancey St")	inform(street="*STREET")
delancey street	*STREET	inform(street="Delancey St")	inform(street="*STREET")
yes	yes	affirm()	affirm()
franklin street	*STREET	inform(street="Franklin St")	inform(street="*STREET")
what time will i reach the destination	what time will i reach the destination	request(arrival_time)	request(arrival_time="*ARRIVAL_TIME")
what time will i arrive	what time will i arrive	request(arrival_time)	request(arrival_time="*ARRIVAL_TIME")
can i have a schedule	can i have a schedule	inform(task="find_connection")	inform(task="find_connection")
six p m	*NUMBER *AMPM	inform(time="6:00")&inform(ampm="pm")	inform(time="*TIME")&inform(ampm="*AMPM")
rather take the bus	rather take the *VEHICLE	inform(vehicle="bus")	inform(vehicle="*VEHICLE")
wall street	*STREET	inform(street="Wall St")	inform(street="*STREET")
franklin street	*STREET	inform(street="Franklin St")	inform(street="*STREET")
modify search	modify search	null()	null()
i rather take the bus	i rather take the *VEHICLE	inform(vehicle="bus")	inform(vehicle="*VEHICLE")
can i have a schedule	can i have a schedule	inform(task="find_connection")	inform(task="find_connection")
six p m take the bus	*NUMBER *AMPM take the *VEHICLE	inform(time="6:00")&inform(ampm="pm")&inform(vehicle="bus")	inform(time="*TIME")&inform(ampm="*AMPM")&inform(vehicle="*VEHICLE")
no	no	negate()	negate()
start over	start over	restart()	restart()
search for a route six p m to wall street	search for a route *NUMBER *AMPM to *STREET	inform(to_street="Wall St")&inform(time="6:00")&inform(ampm="pm")	inform(to_street="*STREET")&inform(time="*TIME")&inform(ampm="*AMPM")
wall street	*STREET	inform(street="Wall St")	inform(street="*STREET")
none	none	null()	null()
wall street	*STREET	inform(street="Wall St")	inform(street="*STREET")
wall street	*STREET	inform(street="Wall St")	inform(street="*STREET")
wall street	*STREET	inform(street="Wall St")	inform(street="*STREET")
wall street	*STREET	inform(street="Wall St")	inform(street="*STREET")
wall street	*STREET	inform(street="Wall St")	inform(street="*STREET")
wall street	*STREET	inform(street="Wall St")	inform(street="*STREET")
wall street	*STREET	inform(street="Wall St")	inform(street="*STREET")
thank you goodbye	thank you goodbye	bye()&thankyou()	bye()&thankyou()
